transaction_id,transaction_date,customer_id,card_type,amount,merchant_category,merchant_country,transaction_channel,device_type,is_international,is_card_present,transactions_last_24h,average_amount_30d,risk_score,is_fraud
CC00005621,2025-10-20 23:27:34,C002464,amex,622.33,travel,Australia,pos,other,0,0,3,78.18,37,0
CC00004944,2025-03-05 10:57:39,C000338,amex,99.31,travel,United States,website,windows,0,1,6,150.32,15,0
CC00004063,2025-11-13 07:11:24,C001287,visa,630.55,fuel,Germany,atm,windows,0,1,0,227.26,21,0
CC00006361,2025-10-25 10:43:22,C001180,visa,47.22,travel,Singapore,,windows,0,0,8,207.93,31,0
CC00003011,2025-03-24 02:24:43,C002790,rupay,128.9,entertainment,Australia,atm,windows,0,0,0,104.56,26,0
CC00009114,2025-11-20 17:54:49,C003264,amex,499.63,travel,Singapore,atm,mac,0,1,10,264.96,8,0
CC00011384,2025-12-30 18:46:36,C002205,mastercard,29.05,pharmacy,Germany,mobile_app,mac,0,1,5,358.48,16,0
CC00010566,2025-01-28 08:54:50,C002350,amex,243.9,fuel,UAE,mobile_app,other,0,1,2,460.03,13,0
CC00005136,2025-08-21 08:57:54,C002202,amex,156.24,entertainment,United States,atm,android,0,1,3,91.41,14,0
CC00002310,2025-03-02 11:51:58,C001846,visa,16.92,travel,Singapore,website,windows,0,0,6,514.03,29,0
CC00000805,2025-08-09 10:09:16,C000821,amex,700.48,entertainment,Singapore,atm,mac,0,0,8,66.45,36,0
CC00004120,2025-08-24 12:35:17,C000643,visa,146.74,fuel,Germany,website,other,1,0,3,141.51,47,0
CC00009154,2025-12-10 18:08:04,C001241,visa,420.12,fuel,India,atm,android,0,1,12,132.14,40,0
CC00004256,2025-06-07 22:56:05,C002836,mastercard,159.56,electronics,United States,website,other,0,1,5,114.45,12,0
CC00008008,2025-10-09 06:43:20,C002592,rupay,763.69,travel,Germany,mobile_app,windows,0,1,3,132.49,18,1
CC00006169,2025-05-09 14:48:00,C001429,visa,241.86,entertainment,United States,website,windows,1,1,0,63.33,37,0
CC00005217,2025-11-06 05:02:03,C001290,visa,80.57,utilities,Canada,pos,other,0,0,9,76.01,31,0
CC00010026,2025-05-03 16:04:41,C000629,rupay,283.19,grocery,United Kingdom,pos,android,0,1,4,92.29,19,0
CC00008021,2025-02-02 03:42:50,C001165,visa,23.21,travel,Canada,atm,other,0,1,3,314.26,12,0
CC00009669,2025-02-23 01:41:12,C000163,rupay,642.43,pharmacy,Germany,mobile_app,android,0,0,5,127.38,26,0
CC00003151,2025-06-02 21:29:01,C002520,amex,1533.38,pharmacy,Germany,website,mac,0,1,5,200.04,15,0
CC00005215,2025-08-24 00:50:53,C001755,rupay,236.59,electronics,India,atm,,1,1,0,92.24,27,0
CC00011990,2025-06-05 11:14:29,C001097,rupay,296.47,fashion,United Kingdom,website,mac,1,1,4,103.98,38,0
CC00008401,2025-08-11 03:06:55,C001371,amex,212.32,fuel,United Kingdom,mobile_app,android,0,0,5,131.47,29,0
CC00004440,2025-01-31 14:12:23,C000830,rupay,306.94,restaurant,Australia,atm,windows,0,0,0,83.37,34,0
CC00008427,2025-03-31 09:27:52,C002161,amex,63.74,restaurant,United States,mobile_app,other,0,0,7,145.58,33,0
CC00003926,2025-12-24 03:26:18,C001307,rupay,93.25,restaurant,India,atm,windows,1,0,12,109.68,64,0
CC00011946,2025-12-19 03:05:06,C000299,mastercard,332.77,utilities,Australia,pos,other,1,0,2,46.74,48,0
CC00009334,2025-03-10 18:48:52,C001503,mastercard,63.04,entertainment,UAE,mobile_app,windows,0,1,4,155.95,18,0
CC00002754,2025-03-05 15:49:31,C001663,rupay,404.23,pharmacy,UAE,atm,mac,0,0,4,131.02,22,0
CC00004553,2025-07-16 21:59:25,C000382,rupay,121.57,travel,Australia,website,android,1,1,2,214.81,30,0
CC00011764,2025-07-08 04:51:15,C000802,rupay,400.95,fuel,United States,atm,other,1,0,2,362.76,49,0
CC00008607,2025-06-29 04:25:24,C000315,mastercard,138.53,utilities,India,mobile_app,windows,0,1,1,71.16,,0
CC00000845,2025-08-29 17:06:41,C000014,mastercard,103.65,,United Kingdom,website,other,0,1,8,346.29,22,0
CC00002847,2025-08-08 05:05:58,C001117,amex,1810.32,restaurant,India,website,windows,0,0,7,80.33,30,0
CC00009853,2025-10-19 13:32:58,C002008,visa,29.37,fuel,Canada,atm,mac,0,0,6,121.06,20,0
CC00000875,2025-09-13 19:05:17,C002910,rupay,31.69,entertainment,United States,pos,ios,0,0,3,197.02,36,0
CC00007791,2025-10-10 11:23:22,C000922,amex,133.42,entertainment,Singapore,atm,other,0,0,0,479.34,34,0
CC00002188,2025-10-19 11:17:37,C001851,amex,867.77,electronics,India,atm,ios,1,1,1,153.85,33,0
CC00003103,2025-07-21 06:42:48,C001782,mastercard,415.26,fuel,UAE,atm,ios,0,0,0,78.1,34,0
CC00007970,2025-12-02 06:02:13,C003421,rupay,141.14,fuel,Germany,atm,mac,0,1,7,437.75,9,0
CC00008336,2025-01-08 13:16:12,C001310,amex,106.39,restaurant,Canada,atm,other,0,0,6,104.25,32,0
CC00000745,2025-07-10 14:25:22,C000118,amex,280.28,electronics,Singapore,mobile_app,ios,0,1,6,219.87,20,0
CC00003498,2025-08-05 06:41:26,C003171,rupay,105.68,pharmacy,UAE,pos,android,0,1,3,239.13,13,0
CC00002086,2025-06-17 04:40:26,C003233,mastercard,180.37,fuel,United Kingdom,website,android,1,0,4,117.86,53,0
CC00004437,2025-10-12 13:00:25,C001212,rupay,1458.19,fuel,Germany,website,android,0,1,4,93.04,11,0
CC00005774,2025-04-24 07:31:18,C002273,mastercard,350.84,pharmacy,United Kingdom,mobile_app,ios,0,0,8,68.86,35,0
CC00011102,2025-05-30 22:18:20,C003214,amex,361.74,entertainment,United States,mobile_app,windows,1,1,0,224,27,0
CC00007121,2025-11-09 09:23:51,C003008,amex,420.07,pharmacy,Australia,mobile_app,windows,0,0,2,168.48,26,0
CC00006847,2025-01-30 15:20:19,C003179,amex,1032.58,pharmacy,Germany,mobile_app,windows,0,1,10,126.13,19,0
CC00003023,2025-06-11 10:32:22,C001614,rupay,438.52,electronics,India,atm,windows,0,0,4,117.88,32,0
CC00006861,2025-07-02 13:32:21,C002668,rupay,1331.42,electronics,Germany,website,windows,0,0,3,132.24,27,0
CC00011448,2025-06-26 01:54:47,C002969,visa,75.03,restaurant,Singapore,website,android,1,1,2,126.99,37,0
CC00004358,2025-10-09 20:08:28,C002088,rupay,278.78,electronics,Australia,mobile_app,android,0,1,3,188.27,16,0
CC00000527,2025-06-04 02:06:39,C001652,rupay,88.96,utilities,United Kingdom,website,ios,0,1,3,289.06,17,0
CC00003302,2025-09-22 17:35:29,C002952,rupay,146.7,pharmacy,Canada,pos,ios,0,0,0,486.93,35,0
CC00004895,2025-03-17 23:08:20,C002592,mastercard,156.22,grocery,India,atm,android,0,1,4,112.37,22,0
CC00004889,2025-08-07 09:16:51,C000916,rupay,141.17,entertainment,UAE,pos,android,0,0,3,72.77,20,0
CC00010008,2025-07-06 14:46:29,C000576,visa,50.44,utilities,United States,pos,android,0,1,4,49.12,12,0
CC00003756,2025-09-30 13:59:02,C002324,mastercard,122.06,fuel,Canada,pos,ios,0,0,4,145.67,29,1
CC00009614,2025-07-28 13:23:47,C003470,rupay,452.88,entertainment,Singapore,pos,other,0,1,4,90.62,17,0
CC00001363,2025-03-03 07:02:10,C002608,rupay,829.53,pharmacy,Australia,pos,mac,0,1,5,283.11,18,0
CC00010575,2025-12-27 21:20:50,C000510,visa,135.64,pharmacy,United Kingdom,mobile_app, other ,1,1,1,47.15,28,0
CC00010427,2025-12-26 06:16:52,C003178,amex,888.04,pharmacy,UAE,website,mac,0,0,6,221.84,22,0
CC00007386,2025-09-20 16:02:13,C001171,rupay,52.54,pharmacy,India,atm,android,0,1,0,147.79,23,0
CC00009025,2025-11-12 04:54:02,C002413,rupay,95.27,restaurant,Germany,mobile_app,mac,1,1,1,246.12,39,0
CC00011616,2025-07-07 15:14:39,C001827,mastercard,28.67,restaurant,Singapore,website,ios,0,0,2,34.88,19,0
CC00003798,2025-01-02 23:28:40,C000550,amex,41.03,fashion,UAE,website,mac,0,0,0,103.84,25,0
CC00007737,2025-04-20 09:07:10,C001546,visa,324.47,fashion,UAE,pos,android,1,1,7,166.33,44,0
CC00010721,2025-10-15 10:52:30,C003071,visa,975.49,fashion,United States,website,android,0,1,4,411.1,19,1
CC00002472,2025-08-03 12:53:50,C000554,rupay,193.14,electronics,Canada,website,android,0,0,5,237.13,29,0
CC00001744,2025-10-16 20:01:20,C001620,amex,167.75,entertainment,UAE,pos,ios,0,0,8,214.86,23,0
CC00002163,2025-04-07 21:35:31,C002578,rupay,141.33,fuel,Singapore,pos,windows,0,1,2,176.05,15,0
CC00006019,2025-02-23 04:30:58,C001407,rupay,32.34,fashion,United Kingdom,mobile_app,android,0,1,2,378.99,23,0
CC00009319,2025-09-01 10:50:32,C002187,amex,245.19,entertainment,Australia,atm,ios,0,0,3,119.17,19,0
CC00003182,2025-07-24 20:34:55,C001160,rupay,42.53,fuel,Germany,pos,other,1,1,0,173.04,28,0
CC00008364,2025-11-10 20:09:48,C002165,rupay,30.99,pharmacy,Australia,atm,windows,1,0,6,830.98,45,0
CC00002570,2025-07-10 22:23:43,C002600,mastercard,388.69,restaurant,Singapore,website,other,0,0,1,224.14,25,0
CC00003395,2025-02-25 17:44:09,C001662,mastercard,57.56,fuel,United Kingdom,pos,ios,0,0,3,416.96,21,0
CC00003557,2025-07-29 14:56:25,C000239,mastercard,372.33,entertainment,United Kingdom,atm,other,1,1,2,103.65,35,0
CC00001972,2025-11-26 21:37:17,C001343,rupay,298.63,restaurant,UAE,pos,ios,0,1,1,228.13,10,0
CC00007874,2025-03-10 01:05:57,C001799,visa,178.47,fashion,Singapore,pos,other,0,0,8,181.46,25,0
CC00010183,2025-04-02 10:29:13,C003247,visa,83.94,pharmacy,Germany,mobile_app,windows,1,1,4,151.51,28,0
CC00002072,2025-01-15 15:05:19,C002189,amex,153.06,pharmacy,Germany,atm,ios,0,0,5,100.98,36,0
CC00002258,2025-11-23 08:49:51,C002268,mastercard,174.13,electronics,Canada,pos,mac,0,1,0,143.42,9,0
CC00001397,2025-08-13 14:52:35,C003137,mastercard,196.36,fashion,UAE,pos,android,0,1,1,167.59,23,0
CC00005767,2025-08-08 21:17:21,C000019,rupay,99.75,entertainment,United States,website,android,0,1,6,192.75,8,0
CC00004730,2025-06-25 14:28:08,C002601,rupay,186.45,fashion,United Kingdom,mobile_app,android,0,0,0,118.38,23,0
CC00007138,2025-07-31 19:07:06,C000091,amex,134.05,utilities,Singapore,pos,ios,0,0,9,104,33,0
CC00007308,2025-10-24 11:54:07,C001825,rupay,64.88,electronics,United States,website,mac,0,0,4,288.19,25,0
CC00002907,2025-09-07 19:43:35,C000617,amex,424.07,fuel,United States,mobile_app,android,0,0,7,87.33,31,0
CC00008808,2025-11-13 12:09:46,C001634,rupay,216.78,utilities,United Kingdom,pos,other,1,0,5,108.57,50,0
CC00008685,2025-05-26 05:32:29,C002788,amex,190.78,restaurant,UAE,atm,mac,1,0,9,152.54,51,0
CC00007234,2025-04-24 07:13:14,C001625,visa,82.42,entertainment,United Kingdom,pos,mac,0,1,0,150.42,19,0
CC00004370,2025-12-27 22:19:30,C002847,rupay,53.62,utilities,Singapore,,mac,0,1,8,85.58,13,0
CC00002384,2025-09-01 00:16:04,C000784,mastercard,122.88,restaurant,UAE,atm,other,1,0,7,155.3,55,0
CC00011940,2025-05-11 21:16:01,C003003,mastercard,232.56,utilities,Canada,atm,ios,0,0,5,288.74,28,0
CC00002616,2025-03-09 00:26:47,C003056,amex,70.92,travel,United Kingdom,mobile_app,ios,1,0,3,135.21,47,1
CC00008328,2025-03-18 23:53:59,C001223,rupay,548.22,pharmacy,Canada,website,windows,1,1,6,93.91,31,0
CC00007047,2025-05-10 17:10:58,C002758,amex,193.92,fashion,Australia,ATM,ios,0,0,7,118.2,24,0
CC00004169,2025-08-12 21:06:34,C003093,mastercard,113.59,restaurant,United States,mobile_app,android,1,1,3,149.35,41,0
CC00010341,2025-04-08 18:44:48,C002554,rupay,292.18,pharmacy,Germany,mobile_app,ios,0,0,7,126.11,21,0
CC00003841,2025-05-13 11:29:46,C002714,rupay,20.66,entertainment,United Kingdom,pos,mac,0,1,7,147.97,21,0
CC00007082,2025-11-26 12:15:36,C002794,rupay,1504.39,electronics,Australia,mobile_app,other,0,1,6,456.3,9,0
CC00006955,2025-01-11 08:22:28,C000235,visa,620.2,pharmacy,India,pos,mac,0,0,0,395.1,23,0
CC00010293,2025-05-27 06:55:31,C000502,amex,305.74,grocery,Singapore,mobile_app,other,0,0,6,248.12,26,0
CC00009096,2025-01-23 15:39:05,C001542,rupay,188.19,fuel,UAE,pos,windows,0,1,7,73.63,20,0
CC00004000,2025-06-25 02:15:10,C002346,mastercard,268.73,grocery,Australia,atm,other,1,1,5,106.21,41,0
CC00009529,2025-12-15 06:24:49,C001991,mastercard,2674.34,entertainment,India,atm,ios,0,0,8,227.27,43,0
CC00011109,2025-02-13 22:46:40,C000401,rupay,449.39,entertainment,Germany,website,android,0,0,2,323.43,24,0
CC00000281,,C003054,amex,254.97,fashion,Germany,atm,other,0,1,3,182.79,13,0
CC00004930,2025-10-03 06:38:43,C001101,mastercard,158.32,fuel,India,website,windows,0,0,9,116.41,23,0
CC00002921,2025-02-07 22:06:18,C001302,visa,96.38,pharmacy,United States,website,android,1,0,8,192.65,52,1
CC00003553,2025-03-03 07:55:45,C001262,rupay,141.93,utilities,United Kingdom,website,android,0,1,6,218.68,17,0
CC00001383,2025-03-13 12:32:48,C000973,amex,179.79,entertainment,UAE,atm,android,0,0,2,419.91,29,0
CC00002973,2025-05-17 04:32:48,C003379,visa,304.04,travel,Singapore,pos,android,0,1,1,163.19,15,0
CC00006998,22/05/2025,C003047,visa,560.71,utilities,Germany,pos,windows,0,1,3,108.4,24,0
CC00003638,2025-10-14 21:44:52,C001260,rupay,277.22,grocery,Singapore,website,mac,0,0,7,113.54,21,0
CC00006387,2025-06-14 17:12:27,C001579,rupay,690.06,utilities,Canada,mobile_app,windows,0,0,5,197.21,28,0
CC00006788,2025-02-06 17:01:08,C000160,rupay,312.84,pharmacy,Australia,atm,ios,0,0,7,629.21,24,0
CC00000463,2025-12-08 11:13:13,C000704,mastercard,213.98,grocery,Canada,mobile_app,mac,0,0,7,184.53,35,0
CC00008010,2025-12-22 16:39:23,C003402,rupay,965.45,fashion,Canada,pos,ios,0,0,2,124.71,28,0
CC00000690,2025-12-12 20:26:42,C000883,mastercard,357.71,grocery,India,mobile_app,mac,0,1,1,157.93,20,0
CC00004291,2025-12-24 21:30:37,C002992,visa,184.55,travel,,website,other,0,1,3,575.77,20,0
CC00003313,2025-11-03 22:51:08,C002050,mastercard,180.88,fuel,Canada,pos,windows,0,1,3,113.79,11,0
CC00008852,2025-04-30 21:42:41,C001442,mastercard,541.57,travel,Australia,atm,other,0,1,5,149.79,25,0
CC00009219,2025-07-13 00:52:26,C001638,rupay,376.21,electronics,Canada,website,ios,0,0,8,362.89,27,0
CC00004980,2025-10-28 05:17:36,C003034,mastercard,48.14,travel,Germany,pos,android,0,1,0,213.52,18,0
CC00011825,2025-09-13 03:24:57,C000682,mastercard,187.15,pharmacy,Singapore,website,windows,0,0,0,130.38,29,0
CC00002637,2025-04-25 14:30:38,C000884,amex,637.52,restaurant,Australia,mobile_app,windows,0,0,2,146.88,20,0
CC00006774,2025-09-06 11:36:27,C001775,visa,183.72,restaurant,United States,atm,other,0,0,5,80.86,23,0
CC00005016,2025-06-22 16:30:51,C003073,amex,126.41,travel,Canada,pos,mac,0,1,3,220.12,12,0
CC00009735,2025-11-02 02:43:16,C000420,mastercard,703.44,entertainment,Germany,website,windows,0,0,2,86.23,29,0
CC00001617,2025-12-01 08:37:55,C003045,visa,44.87,grocery,United States,atm,ios,0,0,5,261.81,33,0
CC00001281,2025-11-09 06:04:40,C003490,mastercard,233.1,grocery,Australia,atm,android,0,1,5,134.9,9,0
CC00002192,2025-03-16 19:16:32,C000950,mastercard,160.26,travel,Germany,website,ios,0,1,1,165.79,21,0
CC00011294,2025-11-15 11:54:33,C001414,visa,673.74,electronics,Singapore,atm,windows,0,0,6,144.94,33,1
CC00009757,2025-01-25 02:27:40,C001354,rupay,579.49,fuel,,atm,windows,0,1,5,66.59,8,0
CC00010142,2025-02-04 15:12:16,C000093,mastercard,64.62,utilities,United Kingdom,website,windows,0,1,7,72.28,11,0
CC00003936,2025-12-29 22:49:00,C001051,amex,226.69,fuel,Singapore,mobile_app,windows,0,0,5,75.52,24,0
CC00001725,2025-11-12 08:39:36,C001841,mastercard,127.8,grocery,Singapore,website,other,0,1,2,36.25,19,0
CC00001403,2025-03-23 11:51:27,C003328,rupay,,grocery,Singapore,atm,ios,0,0,5,346.49,31,0
CC00002499,2025-04-29 01:56:13,C003102,rupay,89.55,travel,UAE,pos,windows,0,0,4,56.21,21,0
CC00001298,2025-07-31 01:50:22,C001160,rupay,232.71,grocery,Canada,atm,other,1,0,4,351.08,50,0
CC00004717,2025-03-01 16:17:22,C003244,rupay,33.47,restaurant,UAE,pos,ios,1,1,3,71.26,42,0
CC00006044,2025-09-06 09:48:40,C002132,visa,693.34,fuel,United Kingdom,atm,ios,0,1,4,288.53,19,0
CC00010228,2025-10-24 05:43:25,C000987,visa,84.37,grocery,United Kingdom,website,android,0,1,6,197.39,16,0
CC00007937,2025-07-29 00:41:19,C000598,visa,136.41,utilities,India,pos,ios,0,1,1,94.19,14,0
CC00001351,2025-12-14 17:34:47,C002412,visa,126.1,fashion,Singapore,atm,android,0,0,4,109.4,35,0
CC00001860,2025-07-20 02:46:48,C002458,amex,147.89,grocery,UAE,mobile_app,android,0,0,4,214.82,24,0
CC00008498,2025-06-11 11:51:59,C001257,rupay,1320.15,travel,Germany,pos,windows,0,0,6,85.94,21,0
CC00002828,2025-09-04 06:21:31,C003217,rupay,295.59,electronics,Germany,mobile_app,android,1,0,6,294.22,53,0
CC00002418,2025-02-11 07:00:27,C002937,mastercard,164.9,pharmacy,India,website,android,0,0,7,53.92,37,0
CC00001376,2025-06-27 15:09:54,C002792,rupay,109,fuel,Singapore,mobile_app,mac,1,1,0,178.05,32,0
CC00008330,2025-05-31 20:11:40,C000388,visa,61.13,entertainment,United Kingdom,mobile_app,mac,0,1,6,190.06,24,0
CC00010178,2025-09-29 06:53:19,C001544,visa,164.73,fashion,Canada,mobile_app,mac,0,1,3,296.84,14,0
CC00011787,2025-11-06 19:12:00,C003030,mastercard,82.74,fashion,United Kingdom,mobile_app,android,0,0,2,272.52,35,0
CC00000913,2025-07-21 13:57:34,C000344,amex,166.7,restaurant,Singapore,pos,mac,0,1,7,196.46,16,0
CC00000877,2025-11-26 13:17:45,C002624,amex,461.81,,Canada,atm,android,0,1,0,192.44,25,0
CC00000278,2025-03-08 14:47:31,C001426,visa,199.34,grocery,United States,pos,ios,0,1,7,155.9,17,0
CC00002989,2025-12-30 01:50:09,C002042,visa,496.29,utilities,India,mobile_app,other,0,1,0,79.46,21,0
CC00010986,2025-08-26 15:28:13,C000079,visa,168.43,fuel,Singapore,website,mac,0,1,9,323.11,14,0
CC00003070,2025-03-17 14:38:48,C000826,visa,341.8,utilities,India,website,android,0,1,3,118.46,17,0
CC00007687,2025-03-26 09:49:58,C002138,mastercard,473.74,fuel,Germany,atm,android,0,0,0,314.12,30,0
CC00002245,2025-07-30 05:51:30,C001165,mastercard,26.57,pharmacy,Canada,mobile_app,mac,0,1,8,154.1,25,0
CC00010246,2025-08-21 09:57:58,C000677,mastercard,251.53,restaurant,Canada,mobile_app,mac,0,0,1,374.05,29,0
CC00011373,2025-11-18 21:54:10,C000844,visa,861.89,pharmacy,Germany,atm,other,0,0,2,183.61,34,0
CC00011402,2025-10-27 07:09:07,C002045,visa,118.5,pharmacy,United States,mobile_app,mac,0,0,7,236.89,25,0
CC00007881,2025-11-24 04:02:41,C002381,amex,236.93,entertainment,Canada,atm,ios,0,1,2,489.82,16,0
CC00003382,2025-11-01 21:04:49,C002136,visa,75.82,restaurant,UAE,website,mac,0,0,3,216.48,36,0
CC00007430,2025-03-07 13:02:32,C003084,amex,703.35,grocery,UAE,website,android,0,0,6,65.62,28,0
CC00008818,2025-11-18 14:28:29,C000543,amex,103.95,travel,United Kingdom,website,mac,0,0,5,338.22,26,0
CC00003445,2025-03-22 04:54:03,C002532,amex,236.11,electronics,Canada,mobile_app,android,0,1,7,41.03,20,0
CC00003418,2025-06-26 07:21:38,C002378,rupay,176.89, grocery ,United Kingdom,website,windows,0,1,5,173.62,16,0
