transaction_id,transaction_date,sender_account_id,receiver_account_id,transaction_type,amount,sender_balance_before,sender_balance_after,receiver_balance_before,receiver_balance_after,customer_age_group,customer_city,kyc_level,login_attempts,account_age_days,risk_score,is_fraud
FT00008227,2025-12-24 06:39:58,A0000105,A0008149,debit,1326.72,,40681.07,266299.46,267626.18,60+,Hyderabad,basic,1,1189,9,0
FT00011635,2025-06-13 05:13:53,A0002842,A0006517,debit,193,8839.87,8646.87,281219.84,281412.84,18-25,Hyderabad,standard,1,252,15,0
FT00000520,2025-09-21 13:44:41,A0001166,A0008656,bill_payment,346.13,158333.25,157987.12,91437.77,91783.9,46-60,,enhanced,1,752,16,0
FT00005977,2025-11-24 16:01:13,A0002117,A0008803,transfer,1299.64,95407.86,94108.22,51911.47,53211.11,36-45,Hyderabad,enhanced,3,1671,22,0
FT00012586,2025-11-07 15:21:33,A0002402,A0006944,debit,378.71,210697.23,210423.42,296924.33,297198.14,26-35,Hyderabad,basic,1,1201,17,1
FT00000182,2025-06-17 11:36:51,A0001978,A0006382,debit,251.37,105381.12,105129.75,180811.71,181063.08,36-45,Bengaluru,standard,2,657,19,0
FT00010004,2025-02-11 02:02:58,A0001034,A0007077,debit,270.82,44981.87,44711.05,257599.39,257870.21,36-45,Chennai,standard,2,1112,22,0
FT00012943,2025-01-15 00:54:38,A0003781,A0007194,transfer,462.35,210535.65,210073.3,91502.17,91964.52,60+,Bengaluru,enhanced,1,1351,33,0
FT00003689,2025-12-18 04:51:35,A0000599,A0005225,cash_in,236.27,201140.85,200904.58,299786.97,300023.24,26-35,Pune,basic,1,1402,9,0
FT00001168,2025-05-30 12:25:21,A0003739,A0006886,debit,123.25,2222.15,2098.9,268342.5,268465.75,46-60,Mumbai,enhanced,1,1438,15,0
FT00008097,2025-10-20 15:55:21,A0000544,A0008314,cash_out,70.07,180253.59,180183.52,43044.17,43114.24,46-60,Hyderabad,enhanced,1,502,28,0
FT00009010,2025-05-09 15:52:15,A0000032,A0009426,transfer,922.6,134415.84,133493.24,163526.29,164448.89,18-25,Hyderabad,enhanced,2,1691,24,0
FT00013906,2025-08-29 00:00:16,A0000014,A0007370,debit,104.31,224898.7,224794.39,238481.56,238585.87,46-60,Hyderabad,standard,1,1202,10,0
FT00011896,2025-11-27 11:47:27,A0000964,A0007519,cash_out,194.82,79922.28,79727.46,195878.75,196073.57,46-60,Hyderabad,enhanced,2,1802,24,0
FT00008207,2025-12-14 08:03:13,A0001067,A0006152,cash_in,269.26,141698.61,141429.35,7066.74,7336,46-60,Mumbai,enhanced,1,1292,11,0
FT00011039,2025-01-12 16:26:48,A0003947,A0008651,cash_out,1040.8,174588.53,173547.73,106924.76,107965.56,26-35,Indore,standard,1,295,29,0
FT00008349,2025-05-07 17:28:09,A0002145,A0005419,bill_payment,404.07,136633.41,136229.34,238832.86,239236.93,26-35,Pune,enhanced,3,1027,11,0
FT00002958,11/11/2025,A0002471,A0007246,transfer,188.49,248509.2,248320.71,111772.07,111960.56,18-25,Kolkata,basic,1,1496,21,0
FT00009300,2025-10-01 10:57:07,A0003363,A0006486,transfer,1035.12,181288.31,180253.19,1377.91,2413.03,46-60,Pune,,3,235,27,0
FT00000595,2025-04-29 16:47:41,A0002471,A0006830,cash_in,258.91,210525.25,210266.34,162606.27,162865.18,60+,Mumbai,enhanced,1,1492,17,0
FT00006602,2025-04-03 19:04:55,A0004433,A0005591,debit,1020.28,91461.55,90441.27,81356.57,82376.85,60+,Hyderabad,standard,3,1690,15,0
FT00002299,2025-01-22 09:36:02,A0002038,A0008698,transfer,188.2,6222.34,6034.14,36588.55,36776.75,46-60,Hyderabad,enhanced,1,784,21,0
FT00001375,24/05/2025,A0001364,,cash_out,1080.91,114815.48,113734.57,116312.49,117393.4,60+,Delhi,enhanced,3,203,22,0
FT00011136,2025-11-12 08:03:50,A0000962,A0006150,cash_out,,59862.75,58504.62,262636.74,263994.87,36-45,Bengaluru,standard,3,790,17,0
FT00001581,2025-04-11 16:55:24,A0003387,A0008638,debit,858.26,135320.84,134462.58,159717.6,160575.86,26-35,Hyderabad,standard,1,1458,20,0
FT00007598,2025-03-21 16:38:03,A0004766,A0006969,debit,393.74,222838.6,222444.86,109454.02,109847.76,36-45,Pune,enhanced,1,1559,12,0
FT00001021,2025-07-05 10:11:35,A0003016,A0007559,cash_out,449.27,136875.98,136426.71,281383.76,281833.03,60+,Pune,basic,2,793,17,0
FT00006212,2025-09-20 01:34:31,A0000565,A0007304,bill_payment,75.31,64046.86,63971.55,71901.36,71976.67,26-35,Chennai, standard ,2,1037,7,0
FT00001769,2025-05-02 17:45:21,A0002949,A0005182,debit,544.96,208984.17,208439.21,104188.09,104733.05,60+,Indore,basic,3,644,13,0
FT00009254,2025-02-01 02:13:21,A0004017,A0009932,debit,125.74,101426.32,101300.58,196740.07,196865.81,36-45,Pune,enhanced,4,1502,39,0
FT00006658,2025-12-06 06:42:15,A0000244,A0006659,transfer,118.55,43744.84,43626.29,124722.91,124841.46,18-25,Indore,enhanced,1,189,26,0
FT00010537,2025-02-22 11:57:11,A0004803,A0006298,cash_in,601.49,177478.64,176877.15,291820,292421.49,36-45,Delhi,enhanced,4,1366,39,0
FT00008043,30/04/2025,A0004218,A0009804,transfer,646.9,120018.95,119372.05,90438.91,91085.81,60+,Delhi,standard,4,361,45,0
FT00010679,2025-07-16 12:35:14,A0003975,A0006539,cash_out,606.43,23209.54,22603.11,833.32,1439.75,60+,Hyderabad,enhanced,1,682,31,0
FT00000850,2025-03-05 12:08:08,A0004950,A0008801,transfer,141.44,95836.25,95694.81,254997.35,255138.79,60+,Bengaluru,enhanced,,609,33,0
FT00006029,2025-03-03 01:30:06,A0003168,A0008710,cash_in,964.01,152035.13,151071.12,253382.02,254346.03,60+,Mumbai,basic,2,1664,12,0
FT00002471,2025-06-30 19:40:27,A0001110,A0008250,transfer,266.44,214923.76,214657.32,43834.7,44101.14,60+,Bengaluru,enhanced,1,781,32,0
FT00011956,2025-12-27 09:51:22,A0000307,A0008680,debit,1433.11,96344.39,94911.28,519.42,1952.53,60+,Pune,basic,4,1000,40,0
FT00014988,2025-05-05 14:48:44,A0002789,A0006594,bill_payment,1694.61,116726.53,115031.92,86972.92,88667.53,46-60,Indore,enhanced,1,1164,11,0
FT00006410,2025-10-16 05:46:29,A0001443,A0006394,cash_in,1384.86,144902.64,143517.78,295476.56,296861.42,36-45,Indore,enhanced,1,1508,20,0
FT00009039,2025-04-17 08:43:58,A0002481,A0006684, cash_out ,256.54,45195.56,44939.02,220345.98,220602.52,36-45,Hyderabad,enhanced,2,1385,17,0
FT00012283,2025-02-19 09:03:55,A0000858,A0008032,bill_payment,3308.85,180054.14,176745.29,11578.07,14886.92,46-60,Indore,basic,3,854,21,0
FT00003408,2025-06-24 14:33:14,A0003913,A0005043,transfer,1826.91,116050.06,114223.15,120954.2,122781.11,60+,Chennai,basic,1,1755,32,0
FT00000776,2025-09-03 17:08:34,A0003569,A0007755,cash_in,235.47,74268.97,74033.5,214232.01,214467.48,18-25,Hyderabad,basic,1,1012,13,0
FT00005361,2025-06-15 09:28:07,A0004469,A0009750,bill_payment,2028.15,205581.55,203553.4,41958.93,43987.08,26-35,Bengaluru,standard,2,1262,21,0
FT00006982,2025-10-10 22:16:49,A0004150,A0007854,cash_in,2548.54,238831.5,236282.96,248239.6,250788.14,60+,Mumbai,enhanced,2,309,13,0
FT00014083,08/08/2025,A0004560,A0006373,cash_in,1065.14,16687.65,15622.51,144559.31,145624.45,26-35,Hyderabad,basic,3,750,18,0
FT00002552,2025-09-15 00:14:19,A0002812,A0005310,transfer,219.14,151353.22,151134.08,13485.78,13704.92,46-60,Bengaluru,enhanced,2,151,33,0
FT00001287,2025-06-22 11:26:17,A0004910,A0007360,debit,375.09,14671.01,14295.92,276414.02,276789.11,36-45,Bengaluru,standard,2,810,20,0
FT00004780,2025-07-23 04:55:41,A0001738,A0005527,cash_out,1492.52,4638.44,3145.92,28356.47,29848.99,36-45,Delhi,standard,1,549,26,0
FT00001833,2025-10-27 19:27:04,A0001688,A0009949, cash_out ,910.16,66697.24,65787.08,53560.5,54470.66,26-35,Kolkata,standard,1,168,30,0
FT00002798,2025-08-23 17:15:48,A0003517,A0009033,bill_payment,1311.69,67022.29,65710.6,293764.28,295075.97,36-45,Pune,basic,1,1521,20,0
FT00000864,2025-08-05 03:09:50,A0004230,A0009912,transfer,200.06,60475.32,60275.26,277957.28,278157.34,18-25,Chennai,standard,1,417,25,0
FT00010753,2025-01-15 23:12:23,A0001843,A0009795,debit,147.83,80641.54,80493.71,117110.11,117257.94,26-35,Kolkata,standard,1,329,17,0
FT00002069,2025-09-29 06:07:36,A0001404,A0009270,debit,5770.84,96680.81,90909.97,272764.71,278535.55,18-25,Chennai,standard,1,1818,8,0
FT00011622,2025-02-17 08:40:30,A0002438,A0007012,cash_in,478.4,151004.07,150525.67,62937.21,63415.61,46-60,Bengaluru,standard,2,1662,17,0
FT00010267,2025-10-10 11:14:17,A0000502,A0005139,transfer,204.2,241101.87,240897.67,4235.14,4439.34,60+,Kolkata,basic,1,987,24,0
FT00006853,2025-09-12 11:42:23,A0000519,A0007999,debit,299.89,73189.83,72889.94,225182.6,225482.49,60+,Pune,standard,4,1211,36,0
FT00007202,2025-01-28 04:21:13,A0003399,A0009685,cash_in,3046.33,9958.79,6912.46,30851.14,33897.47,18-25,Chennai,basic,4,1266,31,0
FT00005858,2025-11-01 00:33:48,A0002588,A0008400,transfer,2032.1,138907.06,136874.96,116084.91,118117.01,18-25,Hyderabad,enhanced,1,1196,19,0
FT00002643,2025-12-06 21:36:05,A0000521,A0006785,cash_out,218.71,153673.51,153454.8,200395.42,200614.13,36-45,Indore,basic,3,1409,16,0
FT00000682,2025-02-22 18:32:02,A0002195,A0006782,cash_out,29.33,38271.71,38242.38,243406.07,243435.4,18-25,Delhi,standard,2,1474,26,0
FT00001419,2025-11-08 23:58:40,A0000375,A0006305,cash_in,468.26,50594.15,50125.89,124500.67,124968.93,36-45,Indore,enhanced,2,55,34,0
FT00001542,2025-04-28 23:27:37,A0003946,A0008760,transfer,4019.74,135629.17,131609.43,298796.34,302816.08,26-35,Mumbai,enhanced,1,272,23,0
FT00006728,2025-01-10 00:45:30,A0003289,A0005441,debit,882.88,106982.45,106099.57,237125.4,238008.28,18-25,Bengaluru,basic,1,1650,7,0
FT00002397,2025-12-29 01:34:54,A0004736,A0006727,debit,800.47,22353.13,21552.66,293930.61,294731.08,18-25,Chennai,basic,2,1762,16,0
FT00005294,2025-08-30 19:51:19,A0001834,A0007982,cash_out,3168.92,197065.31,193896.39,240998.82,244167.74,18-25,Hyderabad,basic,4,770,45,0
FT00002313,2025-06-24 00:13:31,A0002883,A0005837,transfer,196.41,175024.95,174828.54,33237.52,33433.93,36-45,Hyderabad,basic,2,232,28,0
FT00000322,2025-08-26 17:48:43,A0002522,A0007890,bill_payment,423.46,50668.27,50244.81,52709.14,53132.6,36-45,Indore,,2,1107,15,0
FT00004862,2025-11-14 13:29:29,A0001192,A0007558,bill_payment,101.55,135737.05,135635.5,278783.33,278884.88,26-35,Chennai,basic,1,295,15,0
FT00000949,2025-03-18 11:08:17,A0002990,A0009349,cash_in,582.32,242215.99,241633.67,117398.39,117980.71,18-25,Bengaluru,standard,3,313,11,0
FT00008858,2025-12-11 19:15:45,A0004664,A0006604,transfer,149.39,44350.92,44201.53,123222.81,123372.2,60+,Delhi,standard,1,214,22,0
FT00012599,2025-03-03 10:22:19,A0003443,A0008544,cash_out,25,161883.86,161858.86,211449.11,211474.11,18-25,Hyderabad,basic,1,826,19,0
FT00000943,2025-08-08 09:10:45,A0001158,A0009284,cash_in,907.74,215155.14,214247.4,262907.05,263814.79,18-25,Bengaluru,standard,4,345,32,0
FT00002553,2025-10-22 19:44:02,A0002693,A0007314,cash_in,4254.23,13760.42,9506.19,120768.01,125022.24,36-45,Indore,basic,1,880,10,0
FT00002645,2025-02-18 15:40:49,A0004419,A0009642,bill_payment,59.04,247350.03,247290.99,106862.62,106921.66,36-45,Chennai,enhanced,1,1593,9,0
FT00001600,2025-03-15 16:44:12,A0000425,A0008081,cash_in,985.83,16623.18,15637.35,92087.45,93073.28,46-60,Chennai,enhanced,2,928,11,0
FT00013099,2025-11-08 19:32:57,A0001558,A0008941,cash_in,122.18,90784.73,90662.55,160057.59,160179.77,46-60,Bengaluru,standard,2,1645,17,0
FT00002114,2025-04-22 21:49:08,A0004205,A0008809,cash_out,143.36,180043.56,179900.2,233099.28,233242.64,46-60,Chennai,,1,741,25,0
FT00003800,2025-03-20 19:24:46,A0001992,A0008324,debit,128.84,38283.88,38155.04,91564.16,91693,18-25,Indore,enhanced,2,570,21,0
FT00005042,2025-02-12 12:58:31,A0002349,A0009935,debit,70.5,95896.4,95825.9,202043.11,202113.61,18-25,Pune,standard,2,878,10,0
FT00012639,2025-03-23 00:47:36,A0001360,A0005429,transfer,390.48,147064.02,146673.54,99944.18,100334.66,26-35,Pune,basic,1,1057,27,0
FT00007188,2025-08-28 13:27:38,A0003474,A0008199,cash_in,221.4,17971.43,17750.03,206800.77,207022.17,36-45,Chennai,enhanced,4,847,30,0
FT00002567,2025-03-24 21:25:21,A0003976,A0009888,cash_in,411.17,203345.73,202934.56,255778.02,256189.19,18-25,Pune,basic,1,1708,11,0
FT00001867,2025-04-08 20:24:18,A0002234,A0008456,bill_payment,150.5,200919.89,200769.39,273214.7,273365.2,36-45,Indore,basic,3,817,16,0
FT00005619,2025-08-10 19:47:00,A0000256,A0009895,transfer,1359.55,233066.49,231706.94,66283.75,67643.3,18-25,Bengaluru,standard,1,168,18,0
FT00011670,2025-12-30 16:39:34,A0001215,A0008701,debit,207.61,111030.97,110823.36,75560.53,75768.14,60+,Chennai,BASIC,2,200,12,0
FT00006617,2025-10-10 00:56:35,A0004475,A0008381,transfer,103.58,226219.12,226115.54,32642.09,32745.67,36-45,Delhi,enhanced,1,1088,27,0
FT00009661,2025-05-06 22:16:14,A0003889,A0009958,debit,706.02,63087.29,62381.27,298498.44,299204.46,18-25,Bengaluru,enhanced,2,1123,18,0
FT00002915,2025-07-03 11:59:06,A0003708,A0005224,debit,343.61,229518.75,229175.14,72288.91,72632.52,36-45,Indore,enhanced,2,502,12,0
FT00005764,2025-04-22 00:20:46,A0002142,A0006274,cash_out,280.83,188487.17,188206.34,258457.13,258737.96,60+,Pune,enhanced,4,84,59,0
FT00002735,2025-04-04 09:33:38,A0002581,A0007554,cash_in,687.11,237490.95,236803.84,273035.68,273722.79,18-25,Chennai,enhanced,2,1413,18,0
FT00001636,2025-11-07 20:26:50,A0000662,A0006840,debit,1504.19,118583.26,117079.07,116705.44,118209.63,36-45,Kolkata,basic,1,1436,16,0
FT00014146,2025-12-27 18:26:23,A0000551,A0008483,cash_in,2766.99,5072.76,2305.77,79879.47,82646.46,26-35,Bengaluru,standard,2,1733,16,0
FT00010557,2025-03-04 12:39:02,A0002087,A0005847,cash_out,327.43,234133.93,233806.5,82142.95,82470.38,46-60,Hyderabad,standard,3,1671,20,0
FT00011117,2025-12-09 10:14:41,A0001498,A0008856,cash_in,609.24,44306.6,43697.36,188664.93,189274.17,26-35,Hyderabad,basic,2,357,18,0
FT00012988,2025-08-08 15:27:55,A0002767,A0008624,cash_in,265.38,127158.15,126892.77,296518.29,296783.67,60+,Indore,enhanced,1,766,13,0
FT00010947,2025-09-15 17:37:24,A0000873,A0006917,bill_payment,2144.74,179963.74,177819,274894.04,277038.78,26-35,Pune,enhanced,2,974,19,0
FT00003588,2025-09-22 00:15:03,A0002125,A0005993,cash_out,1093.71,114020.79,112927.08,12906.68,14000.39,18-25,Pune,basic,2,573,25,0
FT00010828,2025-08-23 15:08:03,A0003742,A0008127,bill_payment,428.24,179026.63,178598.39,54391.3,54819.54,26-35,Bengaluru,basic,2,1364,12,0
FT00005995,2025-09-21 21:51:27,A0001489,A0009407,debit,426.73,170473.89,170047.16,69745.84,70172.57,26-35,Delhi,enhanced,3,1026,20,0
FT00003845,2025-10-11 00:09:59,A0001000,A0008666,cash_in,275.18,246552.76,,290887.97,291163.15,46-60,Pune,basic,1,928,17,0
FT00006745,2025-10-01 15:57:38,A0002522,A0006446,transfer,883.36,170457.67,169574.31,275685.78,276569.14,46-60,Mumbai,standard,2,222,22,0
FT00005245,2025-09-11 16:11:40,A0002360,A0009777,debit,169.02,45100.58,44931.56,7057.29,7226.31,46-60,Hyderabad,standard,1,1291,8,0
FT00012053,2025-10-27 01:22:58,A0003565,A0006138,debit,1565.72,80754.63,79188.91,273854.01,275419.73,46-60,Kolkata,enhanced,1,994,7,0
FT00008336,2025-01-11 12:46:05,A0001007,A0005939,,1440.07,168410.2,166970.13,13280.34,14720.41,60+,Delhi,standard,2,1821,31,0
FT00005581,2025-10-03 03:36:44,A0001934,A0007886,bill_payment,817.37,235441.12,234623.75,178777,179594.37,26-35,Bengaluru,basic,3,1662,14,0
FT00008383,2025-10-17 09:34:12,A0000557,A0009374,cash_in,1639.66,80283.69,78644.03,23859.73,25499.39,18-25,Chennai,enhanced,1,1161,18,0
FT00000030,2025-01-19 16:42:18,A0004503,A0007713,bill_payment,521.97,106944.93,106422.96,278467.98,278989.95,36-45,Kolkata,enhanced,2,1732,16,0
FT00006742,2025-06-12 02:47:45,A0002127,A0007313,transfer,499.32,248204.75,247705.43,229310.89,229810.21,60+,Mumbai,basic,2,1335,33,0
FT00000128,2025-12-26 19:26:11,A0002213,A0008680,debit,290.72,112755.82,112465.1,32517.75,32808.47,46-60,Kolkata,basic,2,1820,15,0
FT00006963,2025-11-06 07:11:02,A0000932,A0008095,cash_in,327.13,215596.87,215269.74,216253.45,216580.58,46-60,Chennai,basic,2,1036,16,0
FT00009535,2025-07-28 00:07:20,A0000564,A0009542,bill_payment,256.51,199079.76,198823.25,98005.03,98261.54,36-45,CHENNAI,basic,2,645,9,0
FT00006494,2025-04-22 18:52:00,A0000465,A0009093,cash_in,365.09,246038.51,245673.42,134946.03,135311.12,60+,Pune,enhanced,1,1521,19,0
FT00005266,2025-10-28 07:50:43,A0001102,A0009427,cash_out,650.46,62880.63,62230.17,284411.03,285061.49,36-45,Bengaluru,enhanced,1,1578,26,0
FT00007404,2025-07-21 16:56:12,A0000063,A0007184,transfer,464.8,91997.55,91532.75,131414.34,131879.14,18-25,Kolkata,basic,1,319,33,0
FT00002205,2025-07-13 19:33:10,A0004631,A0006503,bill_payment,711.74,187413.38,186701.64,119276.52,119988.26,46-60,Kolkata,basic,1,1201,15,0
FT00008027,2025-09-15 20:30:08,A0000239,A0008975,cash_in,222.81,182724.87,182502.06,58711.22,58934.03,36-45,Hyderabad,basic,1,492,17,0
FT00009994,2025-02-06 11:58:08,A0003602,A0009391,debit,180.13,61392.35,61212.22,92617.38,92797.51,18-25,Kolkata,BASIC,2,1751,8,0
FT00008469,2025-07-06 10:20:15,A0000132,A0009448,transfer,883.86,93890.79,93006.93,210380.91,211264.77,18-25,Kolkata,basic,3,378,23,0
FT00002077,2025-07-22 17:07:48,A0001223,A0007333,debit,672.62,106444.12,105771.5,141739.92,142412.54,46-60,Chennai,enhanced,1,1362,15,0
FT00011541,2025-12-02 09:11:26,A0004002,A0008322,cash_in,482.96,107301.85,106818.89,28414.7,28897.66,26-35,Hyderabad,enhanced,2,1107,7,0
FT00003333,2025-11-16 01:08:12,A0001146,A0008241,cash_in,470.92,150315.52,149844.6,164625.91,165096.83,26-35,Chennai,basic,3,1825,16,0
FT00009794,2025-10-29 04:56:38,A0003371,A0005976,transfer,430.69,19595.61,19164.92,48660.45,49091.14,60+,Bengaluru,basic,3,1475,28,0
FT00008366,2025-01-26 19:35:10,A0001745,A0005144,debit,2159.13,212761.53,210602.4,27322.04,29481.17,60+,Kolkata,standard,2,470,15,0
FT00008786,2025-08-24 00:58:43,A0001909,A0009203,transfer,96.72,132726.32,132629.6,120779.3,120876.02,46-60,Bengaluru,standard,1,949,31,0
FT00009049,2025-04-22 07:51:28,A0003893,A0007248,bill_payment,,169520.12,169100.14,263554.06,263974.04,46-60,Mumbai,enhanced,1,255,9,0
FT00001130,2025-07-23 21:14:41,A0000121,A0008187,transfer,14239.6,92139.75,77900.15,63433.73,77673.33,18-25,Chennai,enhanced,1,808,22,0
FT00003204,2025-10-19 03:00:30,A0001040,A0008029,transfer,7110.49,187054.99,179944.5,219689.53,226800.02,26-35,Hyderabad,standard,1,957,24,0
FT00000726,2025-08-09 03:50:33,A0003484,A0009711,transfer,177.74,102140.39,101962.65,216851.27,217029.01,36-45,Pune, basic ,,627,31,0
FT00011584,2025-04-12 10:11:20,A0003004,A0006671,debit,164.13,88893.29,88729.16,256576.18,256740.31,36-45,Delhi,standard,2,789,6,0
FT00013297,2025-12-04 07:05:59,A0000857,A0005946,bill_payment,1218.26,51375.72,50157.46,191565.98,192784.24,60+,Pune,standard,1,272,16,0
FT00005028,2025-09-12 18:15:23,A0000884,A0006265,cash_in,1090.87,46120.43,45029.56,172034.89,173125.76,46-60,Delhi,basic,3,1507,11,0
FT00003057,2025-11-24 17:30:42,A0001201,A0009957,bill_payment,292.54,124044.87,123752.33,183191.46,183484,46-60,Delhi,enhanced,2,362,11,0
FT00011744,2025-07-01 19:44:42,A0004384,A0007906,cash_out,2062.37,240287.08,238224.71,61664,63726.37,46-60,Pune,standard,2,1285,16,0
FT00007006,2025-03-17 20:46:58,A0001012,A0008014,transfer,1089.73,177767.83,176678.1,211047.51,212137.24,26-35,Indore,enhanced,1,135,27,0
FT00014629,2025-12-13 19:01:17,A0003171,A0009622,transfer,804.87,100596.49,99791.62,251442.52,252247.39,26-35,Kolkata,standard,2,541,33,0
FT00011396,2025-03-22 17:37:01,A0004260,A0005451,cash_out,374.29,128605.89,128231.6,,19324.74,60+,Kolkata,standard,1,146,29,0
FT00010351,2025-04-16 16:05:52,A0002599,A0006284,transfer,65.58,23983.62,23918.04,284790.04,284855.62,46-60,Hyderabad,basic,3,339,28,0
FT00004925,2025-04-04 04:12:10,A0002807,A0007209,cash_out,170.98,144192.69,144021.71,64622.73,64793.71,18-25,Bengaluru,enhanced,1,1047,24,0
FT00003446,2025-05-01 05:16:10,A0002055,A0006709,cash_out,280.8,157384.02,157103.22,61825.07,62105.87,26-35,Delhi,standard,2,1633,24,0
FT00001678,2025-02-09 18:32:52,A0004308,A0006644,debit,1049.3,203623.31,202574.01,84348.77,85398.07,36-45,Kolkata,enhanced,1,1315,22,0
FT00014851,2025-06-15 07:14:31,A0002514,A0006464,transfer,145315.45,86886.63,85256.86,274546.87,276176.64,60+,Indore,basic,1,1586,20,0
FT00012477,2025-10-20 20:37:21,A0003478,A0009579,transfer,617.08,180259.89,179642.81,5700.66,6317.74,26-35,Pune,standard,1,1675,30,0
FT00004090,2025-08-12 13:11:20,A0003195,A0005747,cash_in,714.07,41142.34,40428.27,202151.66,202865.73,18-25,Kolkata,enhanced,1,991,15,0
FT00007619,2025-05-07 07:53:57,A0004940,A0005223,cash_out,727.31,215157.72,214430.41,99798.47,100525.78,60+,Chennai,enhanced,1,1497,28,0
FT00010296,2025-09-18 14:19:34,A0000088,A0006053,cash_in,50.25,219789.04,219738.79,14008.88,14059.13,26-35,BENGALURU,enhanced,1,828,7,0
FT00002040,2025-10-21 00:23:32,A0003741,A0007635,cash_in,725.96,114110.97,113385.01,387.08,1113.04,60+,Chennai,enhanced,2,50,43,0
FT00010535,2025-12-10 20:24:03,A0000307,A0005949,debit,296.15,458.08,161.93,111147.09,111443.24,60+,Kolkata,enhanced,2,1337,20,0
FT00014783,2025-07-24 02:27:52,A0000131,A0005823,cash_out,532.11,157568.11,157036,185605.51,186137.62,36-45,Kolkata,standard,2,738,21,0
FT00005755,2025-05-24 23:14:52,,A0005320,debit,57.99,75745.85,75687.86,165274.93,165332.92,46-60,Delhi,standard,3,1236,20,0
FT00005812,2025-03-04 11:26:59,A0002887,A0005605,bill_payment,6682.99,77424.23,70741.24,138146.81,144829.8,36-45,Bengaluru, basic ,2,659,7,0
FT00007931,2025-12-22 00:57:19,A0002977,A0006029,debit,235.31,18502.88,18267.57,162943.48,163178.79,36-45,Indore,enhanced,1,1685,9,0
FT00007998,2025-10-07 16:13:31,A0001186,A0008470,cash_in,1697.52,177402.16,175704.64,82777.59,84475.11,36-45,Delhi,enhanced,2,536,15,0
FT00013583,2025-12-01 20:22:58,A0003482,A0006341,debit,349.93,175803.05,175453.12,200775.36,201125.29,46-60,Bengaluru,standard,1,511,14,0
FT00007142,2025-12-29 22:24:32,A0003560,A0008124,transfer,218.2,34079.17,33860.97,286727.26,286945.46,46-60,Bengaluru,standard,1,64,47,0
FT00005455,2025-12-25 18:34:38,A0003972,A0006863,transfer,848.64,37400,36551.36,259138.85,259987.49,60+,Kolkata,basic,3,1620,30,0
FT00004743,2025-10-22 10:03:33,A0002692,A0009881,cash_in,429.71,148044.59,147614.88,252671.34,253101.05,60+,Chennai,standard,1,594,10,0
FT00003921,2025-06-25 07:09:01,A0001680,A0007156,debit,159.06,8512.13,8353.07,246815.59,246974.65,26-35,Delhi,standard,1,720,18,0
FT00010831,2025-12-12 07:03:42,A0002969,A0006057,cash_out,361.08,243833.09,243472.01,61619.87,61980.95,18-25,Kolkata,basic,2,1396,31,0
FT00003054,2025-08-05 22:12:40,A0000462,A0006919,cash_out,4168.43,41401.09,37232.66,1120.17,5288.6,46-60,Chennai,standard,1,115,17,0
FT00006178,2025-04-10 10:16:07,A0002867,A0009134,cash_out,540.96,113694.47,113153.51,176706.56,177247.52,60+,Chennai,standard,2,1504,27,0
