transaction_id,transaction_date,customer_id,transaction_type,amount,customer_balance,location,device_type,transaction_hour,distance_from_home_km,transactions_last_1h,new_device,new_location,risk_score,is_fraud
SF00002061,2025-12-15 11:15:36,SC002179,bill_payment,541.24,33570.95,Bengaluru,android,19,5.2,3,0,0,14,0
SF00001642,2025-06-25 22:01:56,SC003822,bill_payment,323.14,164266.79,Kolkata,ios,19,23.7,1,0,0,14,0
SF00000804,2025-07-14 02:37:45,SC005061,withdrawal,212.02,165863.72,Pune,android,12,9.6,3,0,1,32,0
SF00010408,2025-02-02 01:25:57,SC000409,deposit,620.22,195245.61,Pune,windows,13,2,1,0,0,13,0
SF00008171,2025-04-29 05:04:25,SC005682,withdrawal,99.85,238666.29,Kolkata,other,2,5,6,0,0,38,0
SF00002487,2025-02-20 16:53:46,SC002223,transfer,161.35,139417.91,Kolkata,android,9,5.9,,0,1,48,0
SF00004651,2025-07-03 21:59:51,SC005788,purchase,314.79,105844.91,Kolkata,other,20,33.1,2,0,0,8,0
SF00015156,2025-05-24 03:24:47,SC001011,withdrawal,95.26,231462.87,Indore,other,11,8.9,2,0,0,6,0
SF00008573,2025-01-28 18:43:30,SC001592,withdrawal,307.64,7826.35,Hyderabad,mac,6,15.5,0,0,0,16,0
SF00011836,2025-11-05 05:08:37,SC005449,withdrawal,1058.05,4520.52,Chennai,windows,11,13.3,5,0,0,33,0
SF00013504,2025-12-06 23:49:01,SC003332,purchase,755.36,74736.8,Bengaluru,android,15,1.4,1,0,0,7,0
SF00004909,2025-08-28 06:17:04,SC001210,bill_payment,311.36,95073.07,Bengaluru,other,14,14.8,3,0,0,8,0
SF00018114,31/03/2025,SC001285,deposit,515.1,319612.83,,mac,19,10.7,4,0,0,15,0
SF00010192,2025-03-12 11:01:53,SC003242,withdrawal,141.24,227099.95,Kolkata,other,15,15.6,6,0,0,25,0
SF00005019,2025-10-22 05:35:07,SC002460,bill_payment,70.66,26753.29,Mumbai,other,11,7.4,3,0,1,22,0
SF00011184,2025-10-02 06:15:10,SC004787,withdrawal,321.52,63854.18,Indore,android,11,7.2,4,0,0,13,0
SF00001527,2025-10-28 23:16:43,SC004978,purchase,462.84,101688.83,Pune,other,13,23.1,5,0,1,46,0
SF00010771,2025-11-20 13:27:22,SC004724,bill_payment,91.5,280214.1,Bengaluru,mac,7,9.3,5,0,0,30,0
SF00004454,2025-07-14 09:59:57,SC004717,deposit,313.7,308737.51,Hyderabad,ios,6,2,4,0,0,20,0
SF00002272,2025-05-06 23:05:09,SC003124,deposit,324.74,104860.69,Mumbai,mac,3,4.6,3,0,0,23,0
SF00004514,2025-08-13 21:16:22,SC003237,transfer,530.98,19888.31,Chennai,mac,11,13.8,2,0,0,10,0
SF00001987,2025-06-15 00:47:23,SC003081,transfer,79.29,296523.28,Bengaluru,ios,18,14.9,5,0,0,34,0
SF00002639,2025-07-19 09:01:51,SC001386,withdrawal,466.12,145615.1,Bengaluru,mac,12,10.3,4,0,0,6,0
SF00017521,2025-02-18 22:50:48,SC004667,deposit,30.97,85581.83,,windows,15,15.7,4,0,0,20,0
SF00003494,2025-03-21 09:44:29,SC004687,transfer,83.71,79639.56,Kolkata,ios,14,3.3,0,0,0,16,0
SF00017000,2025-04-27 10:33:06,SC004142,transfer,393.67,101806.81,Pune,other,18,3.3,3,0,0,19,0
SF00015785,2025-02-26 01:47:35,SC002860,withdrawal,113.15,39058.72,Mumbai,other,17,4.7,6,0,0,24,0
SF00007784,2025-02-04 16:37:25,SC000732,deposit,119.5,148311.21,Pune,mac,5,10.2,3,0,1,20,0
SF00014645,2025-08-05 07:28:03,SC001604,withdrawal,269.66,319050.59,Bengaluru,mac,1,68.3,5,0,0,52,0
SF00002976,2025-09-16 07:14:55,SC003254,deposit,171.59,143126.17,Hyderabad,mac,15,18.5,1,0,0,14,0
SF00006223,2025-11-09 03:52:56,SC005612,deposit,859.6,217541.31,Indore,windows,21,3.7,4,0,0,17,0
SF00015866,2025-05-14 15:58:07,SC003606,transfer,133.88,287609.42,Indore,android,8,41.2,6,0,0,32,0
SF00012398,2025-10-25 11:29:02,SC000246,bill_payment,259.35,174021.57,Pune,windows,0,4.1,2,0,0,29,0
SF00014571,2025-02-03 16:31:43,SC003088,bill_payment,200.33,342508.78,Pune,ios,20,6.6,4,1,0,33,0
SF00012320,2025-11-28 05:37:13,SC000761,bill_payment,296.54,91181.22,Pune,other,15,72.9,2,0,0,18,0
SF00005611,2025-10-26 17:48:59,SC000626,transfer,304.5,322910.54,Pune,windows,22,3.4,0,0,0,16,0
SF00012775,2025-01-12 14:42:26,SC001273,transfer,1105.4,214366.12,Pune,windows,20,29.6,,0,0,10,0
SF00019975,2025-11-23 19:50:08,SC002108,purchase,255.66,26423.61,Mumbai,other,21,7.1,1,0,0,9,0
SF00006456,2025-06-23 15:52:36,SC001073,deposit,109.54,179784.33,Indore,windows,23,8,4,0,0,6,0
SF00013327,2025-12-27 12:10:38,SC000614,deposit,499.89,335280.24,Mumbai,ios,6,12.3,2,1,0,26,0
SF00003474,2025-03-11 00:15:21,SC003792,withdrawal,155.13,291587.93,Kolkata,other,1,10.9,2,1,0,41,0
SF00001440,2025-01-02 02:40:29,SC004531,bill_payment,201.56,88100.21,Kolkata,windows,21,8.1,0,1,0,34,0
SF00007334,2025-06-24 22:43:33,SC001655,withdrawal,370.1,19175.89,Hyderabad,other,12,2.6,3,0,0,13,0
SF00008107,02/11/2025,SC004682,bill_payment,610.35,63208.92,Delhi,windows,15,11,5,0,0,23,0
SF00003493,2025-02-12 03:30:15,SC003921,deposit,338.01,272249.09,Pune,mac,15,6.9,5,0,0,28,0
SF00008869,2025-01-30 23:52:05,SC002917,transfer,328.92,138787.09,Kolkata,other,2,2.6,0,0,0,22,0
SF00000107,2025-11-17 01:23:09,SC003914,withdrawal,106.7,294172.4,Indore,windows,10,14.4,3,1,0,26,0
SF00005458,2025-04-23 16:36:41,,withdrawal,269.44,265012.47,Chennai,other,5,9.8,3,0,0,9,0
SF00019004,2025-06-19 21:36:21,SC002619,transfer,346.73,326363.67,Kolkata,ios,17,18.1,5,1,1,63,0
SF00006228,2025-05-13 04:58:46,,transfer,445.6,123634.68,Delhi,ios,0,0.8,3,0,0,32,0
SF00014909,2025-05-10 06:04:55,SC000086,withdrawal,424.61,187122.43,Bengaluru,other,6,49.3,1,0,0,19,0
SF00017556,2025-09-06 02:46:20,SC000424,purchase,202.42,233390.95,Pune,other,21,3.9,2,0,1,27,0
SF00019327,2025-03-17 06:55:19,SC001278,deposit,272.88,331166.97,Bengaluru,other,1,29.7,4,0,0,29,0
SF00016205,2025-09-24 06:55:33,SC001525,purchase,63.75,99839.91,Bengaluru,other,21,1.5,2,0,0,13,0
SF00000301,2025-07-18 10:51:52,SC000398,deposit,535.59,213814.77,Bengaluru,windows,21,13.3,5,0,0,29,0
SF00007632,2025-09-08 17:38:33,SC005633,bill_payment,138.14,265500.7,Hyderabad,windows,19,25.2,3,0,0,18,0
SF00007025,2025-02-26 23:10:55,SC001751,withdrawal,105.15,266792.58,Pune,windows,5,6.2,3,0,0,15,0
SF00012138,2025-06-17 18:57:44,SC000662,purchase,187.46,88863.53,Mumbai,windows,19,3,6,0,0,27,0
SF00000023,2025-05-13 15:27:46,SC005468,transfer,190.79,13427.5,Pune,other,22,2.8,5,0,0,31,0
SF00013877,2025-09-28 19:55:48,SC004991,withdrawal,330.54,64434.95,Indore,other,22,4.2,1,0,0,11,0
SF00013118,2025-10-20 03:24:40,SC004717,purchase,98.71,245207.21,Mumbai,mac,22,9.6,5,0,0,37,0
SF00002789,2025-10-02 10:48:33,SC004889,withdrawal,289.83,202885.44,Kolkata,other,5,33.1,1,0,0,12,0
SF00012887,2025-05-21 23:40:26,SC003507,transfer,87.2,66970.87,Delhi,mac,6,3.6,1,0,0,14,0
SF00008657,2025-08-04 10:05:50,SC005004,transfer,320.27,88977.22,Chennai,other,6,9.9,4,0,0,8,0
SF00002411,2025-06-08 02:40:02,SC004302,transfer,95.63,273040.07,Delhi,other,1,7,2,0,,31,0
SF00013475,2025-12-28 05:29:48,SC004653,bill_payment,550.65,298021.27,Pune,ios,12,13.7,6,0,1,42,0
SF00015275,2025-06-16 08:51:51,SC005357,withdrawal,726.74,204668.76,Indore,other,2,8.2,6,0,1,61,1
SF00006078,2025-02-27 19:06:01,SC000380,withdrawal,417.64,88117,Chennai,mac,12,8.8,6,0,0,,0
SF00000297,2025-02-20 12:20:41,SC004517,deposit,29.71,341287.1,Pune,ios,6,3.6,4,0,0,19,0
SF00006875,2025-12-13 08:00:03,SC003352,transfer,138.67,45742.12,Kolkata,android,15,0.7,3,0,0,6,0
SF00001904,2025-01-15 09:03:15,SC000169,bill_payment,492.77,152812.74,Kolkata,ios,22,2.3,5,0,0,37,0
SF00018177,2025-08-19 12:40:09,SC001371,transfer,106.56,323009.51,Delhi,mac,23,10.3,4,0,0,7,0
SF00019225,2025-11-13 00:37:40,SC000463,purchase,285.23,46010.46,Mumbai,ios,3,29.7,2,0,0,31,0
SF00005142,2025-04-11 23:54:04,SC002301,purchase,327.88,43134.03,Bengaluru,other,0,12.4,1,0,1,47,0
SF00006143,2025-09-30 19:54:38,SC003893,transfer,308.34,72074.42,Chennai,mac,10,5.5,2,1,0,27,0
SF00006296,2025-04-04 20:33:46,SC005172,transfer,52.47,246634.45,Chennai,windows,16,11.9,1,0,0,9,0
SF00000569,2025-09-17 20:57:37,SC002960,bill_payment,482.42,244737.35,Hyderabad,ios,22,5.2,5,0,0,28,0
SF00003113,2025-08-06 09:16:32,SC005386,bill_payment,956.42,172611.35,Chennai,android,4,5.6,5,0,0,49,0
SF00009315,2025-04-17 20:43:22,SC005247,withdrawal,71.62,271069.3,Chennai,other,9,12.6,1,0,0,15,0
SF00019546,2025-05-29 22:23:31,SC002853,withdrawal,142.44,99956.72,Kolkata,other,0,8.7,2,0,0,21,0
SF00000324,2025-11-16 01:58:05,SC000738,transfer,202.07,204861.65,Delhi,android,10,19.6,5,0,0,32,0
SF00008545,2025-03-28 02:41:38,SC003233,transfer,92.67,216412.07,Hyderabad,other,8,5.7,5,0,0,32,0
SF00017846,2025-01-29 23:51:34,SC000824,transfer,108.01,343547.65,Delhi,ios,22,25.7,0,0,0,13,0
SF00019959,2025-04-10 13:36:26,SC003335,purchase,100.74,44056,Indore,other,1,63.3,1,0,0,33,0
SF00004069,2025-07-04 06:14:00,SC000878,deposit,139.91,59975.96,Indore,other,2,8.7,4,0,0,22,0
SF00004497,2025-11-22 14:12:41,SC003142,withdrawal,133.62,335473.44,Indore,android,6,30,2,0,0,20,0
SF00016349,2025-04-30 03:34:00,SC000192,bill_payment,264.63,332107.93,Bengaluru,windows,18,36.2,5,1,0,41,0
SF00004817,2025-05-01 02:29:24,SC005449,purchase,91.44,141985.45,Pune,android,13,5.8,1,0,0,8,0
SF00002253,2025-06-02 16:58:59,SC001183,deposit,148.41,75221.69,Bengaluru,mac,3,19.5,4,0,0,25,0
SF00014152,2025-08-14 22:44:04,SC004230,deposit,361.55,45316.82,Delhi,other,6,97.8,6,0,0,30,0
SF00009493,2025-05-03 07:48:42,SC003859,transfer,76.49,228885.26,Pune,other,14,25.9,1,0,0,13,0
SF00018892,2025-02-10 01:52:33,SC004251,bill_payment,41.5,232563.81,Kolkata,ios,12,4.6,0,0,0,8,0
SF00012362,2025-03-02 14:19:09,SC002703,withdrawal,205.69,226416.7,Pune,mac,7,1.7,0,0,1,22,0
SF00007739,14/07/2025,SC000214,bill_payment,265.55,269470.33,Bengaluru,windows,10,8.5,3,0,0,8,0
SF00007278,2025-10-20 23:52:27,SC000823,purchase,1578.94,280388.49,Chennai,windows,3,2.3,4,0,0,31,0
SF00007681,2025-08-27 15:53:14,SC004825,withdrawal,692.43,293331.6,Bengaluru,other,2,19.6,4,0,0,26,0
SF00016441,2025-08-27 14:01:48,SC005005,bill_payment,98.28,281688.13,Pune,windows,9,13,2,0,0,15,0
SF00012703,2025-09-25 08:59:24,SC000763,bill_payment,40.94,32875.47,Kolkata,ios,20,20.9,0,0,0,13,0
SF00002950,2025-01-27 01:38:46,SC004610,purchase,249.88,178710.21,Hyderabad,mac,18,3.2,3,0,0,10,0
SF00011975,2025-12-08 02:05:47,SC002297,transfer,1189.64,306541.75,Indore,ios,2,18.2,2,1,0,43,0
SF00018758,2025-07-12 22:43:34,SC003517,withdrawal,281.01,203352.88,Kolkata,other,13,12.1,5,0,0,24,0
SF00013573,2025-12-04 21:29:52,SC005800,purchase,93.38,13505.65,Mumbai,other,20,10.5,0,0,0,20,0
SF00012141,2025-10-06 22:53:40,SC004579,transfer,549.02,209059.07,Bengaluru,android,13,5.1,0,0,0,19,1
SF00015722,2025-10-08 09:41:29,,purchase,116.4,63249.46,Indore,windows,4,7,6,0,0,52,1
SF00013884,2025-06-14 14:07:58,SC003140,purchase,455.78,58975.71,,ios,17,23.6,0,0,0,7,0
SF00016148,2025-12-14 00:07:31,SC005244,deposit,124.51,151433.96,Hyderabad,android,15,8.8,6,0,0,27,0
SF00014585,2025-07-06 17:03:51,SC001106,purchase,78.9,319832.78,Bengaluru,windows,15,5,4,0,0,12,0
SF00013627,2025-05-26 14:33:26,SC002926,purchase,896.04,,Chennai,MAC,15,9.3,4,0,0,11,0
SF00008808,2025-11-24 21:16:56,SC003111,transfer,540.92,182032.95,Kolkata,ios,4,3.9,5,0,0,47,0
SF00011183,2025-08-26 17:51:18,SC001654,purchase,723.18,277671.65,Indore,android,22,13.6,2,0,0,14,0
SF00011605,2025-06-06 01:59:34,SC000018,withdrawal,180.01,17847.81,Pune,other,10,27.8,1,0,1,27,0
SF00005467,2025-03-22 04:27:04,SC001956,withdrawal,197.36,336632.13,Bengaluru,other,22,5,1,0,0,15,0
SF00006070,2025-05-07 21:43:27,SC003395,purchase,712.25,210642.74,Kolkata,other,8,7.6,5,0,0,30,0
SF00008394,2025-12-06 15:09:54,SC005215,purchase,318.14,176601.31,Mumbai,android,15,20,3,0,0,20,0
SF00010135,2025-06-01 08:58:57,SC002291,withdrawal,143.6,232194.69,Bengaluru,android,23,5.1,0,1,0,21,0
SF00018927,2025-08-29 06:44:12,SC004806,transfer,448.37,310134.42,Indore,android,6,3.7,4,0,0,8,0
SF00019370,2025-07-26 23:41:03,SC004535,withdrawal,72.89,240473.89,Pune,mac,7,6.6,2,0,0,13,0
SF00014584,2025-05-30 15:18:49,SC002948,bill_payment,260.86,95827.05,Mumbai,windows,13,10.9,5,0,0,35,0
SF00005706,2025-06-13 10:05:41,SC003674,bill_payment,322.08,232384.13,Delhi,android,12,7.8,1,0,0,17,0
SF00007858,2025-08-06 00:12:42,SC000153,deposit,286.65,10747.77,Delhi,,21,16.6,1,0,0,15,0
SF00014116,2025-12-20 19:40:05,SC005536,withdrawal,518.02,6443.52,Mumbai,windows,10,1.3,1,0,0,16,0
SF00009529,2025-12-26 00:25:59,SC001019,deposit,74.28,43406.64,Kolkata,mac,14,2.1,5,0,0,27,0
SF00019354,2025-12-11 07:57:17,SC000606,purchase,546.34,201267.87,Indore,windows,8,,1,0,0,8,0
SF00006729,2025-02-24 08:52:02,SC003220,transfer,368.19,212033.85,Chennai,mac,19,12.1,5,0,0,37,0
SF00018255,2025-07-16 23:41:43,SC002366,deposit,347.27,70336,Mumbai,ios,14,17.9,4,0,0,20,0
SF00014325,2025-02-26 04:25:19,SC001741,transfer,1681.67,220195.44,Pune,windows,11,2.8,3,0,0,20,0
SF00019985,2025-11-28 06:54:00,SC002265,bill_payment,97.76,292754.34,Indore,mac,14,2.7,5,0,1,48,0
SF00001002,2025-08-09 20:39:15,SC000757,transfer,135.16,314836.83,Hyderabad,windows,5,43.3,0,0,0,15,0
SF00007793,2025-01-03 04:49:08,SC005438,withdrawal,129.51,169101.1,Chennai,other,2,108.2,5,0,0,73,0
SF00002298,2025-12-24 05:25:34,SC002310,deposit,221.6,263727.37,Indore,other,7,9.1,6,0,0,33,0
SF00001829,2025-06-09 17:48:54,SC004513,withdrawal,301.37,289047.04,Indore,ios,8,18.8,0,0,1,32,0
SF00008629,2025-10-02 14:28:53,SC003656,withdrawal,476.42,179606.97,Pune,other,3,2.5,5,0,0,47,0
SF00005021,2025-01-04 07:50:36,SC004002,withdrawal,213.54,78877.08,Hyderabad,android,18,23.6,6,0,0,25,0
SF00014232,2025-09-23 18:37:42,SC001982,bill_payment,1001.86,189764.99,Kolkata,mac,11,8.5,5,0,0,38,0
SF00019049,2025-01-10 11:43:34,SC004074,transfer,751.48,59361.84,Bengaluru,windows,1,1.4,3,0,0,34,0
SF00014101,2025-06-13 05:41:34,SC003670,bill_payment,87.37,32555.67,Indore,other,18,6.7,1,0,0,,0
SF00001737,2025-02-10 12:40:25,SC003460,purchase,108.92,141816.12,Delhi,windows,10,8.7,4,0,0,15,0
SF00000668,2025-09-30 18:50:04,SC003220,deposit,434.14,231245.13,Pune,windows,16,4.1,5,0,0,24,0
SF00002738,2025-08-01 22:30:58,SC005951,deposit,108,134546.33,Hyderabad,other,1,24.2,3,0,0,24,0
SF00007644,2025-11-26 17:00:59,SC002435,deposit,171.56,31186.23,Delhi,other,18,26.5,5,0,0,36,0
SF00019683,2025-04-18 09:21:00,SC003042,withdrawal,133.66,341318.07,Chennai,mac,18,2.1,5,0,0,27,0
SF00002402,2025-07-10 21:04:26,SC002380,purchase,151.65,134512.35,Indore,ios,20,5.7,0,0,0,14,0
SF00018302,2025-04-21 17:22:05,SC003189,purchase,348.32,9046.35,Hyderabad,other,23,15.2,1,0,0,15,0
SF00016043,2025-04-23 19:11:51,SC003682,transfer,145.12,139747.05,Delhi,ios,22,3.7,6,0,0,30,0
SF00005891,2025-03-15 16:33:25,SC004967,purchase,59.53,158266.86,Pune,ios,22,5.4,4,0,0,14,0
SF00000456,2025-04-04 11:15:38,SC001128,transfer,116.27,200294.5,Kolkata,ios,18,1.8,6,0,0,36,0
SF00015074,2025-01-30 16:54:03,SC005080,purchase,2980.61,209316.96,Chennai,windows,15,8.1,6,0,0,25,0
SF00004933,2025-02-02 05:06:35,SC000731,bill_payment,208.59,106904.4,Hyderabad,mac,7,1.9,6,0,0,30,0
SF00019202,2025-07-15 08:31:13,SC004538,purchase,317.83,348659.64,Chennai,android,7,61.8,6,0,0,27,0
SF00017392,2025-01-21 05:45:53,SC004207,transfer,250.6,93505.81,Chennai,mac,7,7.9,3,0,0,14,0
SF00005875,2025-07-31 22:27:55,SC001341,withdrawal,85.93,147321.83,Delhi,mac,15,4.7,5,0,0,35,0
SF00000796,2025-09-21 07:36:26,SC000761,deposit,167.39,277373.19,Hyderabad,windows,9,17.1,0,0,0,12,0
SF00000529,2025-08-28 19:46:55,SC000854,bill_payment,513.63,46902.25,,ios,6,26.3,2,0,0,15,0
SF00001373,2025-03-19 04:46:33,SC001105,transfer,38.88,314185.46,Kolkata,other,10,11.4,1,0,0,19,0
SF00004436,2025-09-16 13:30:30,SC002888,withdrawal,271.28,131186.59,Pune,mac,17,19.5,3,0,0,,0
SF00000053,2025-05-28 15:52:51,SC001739,,489.47,91509.66,Pune, other ,0,3.4,0,0,0,24,0
SF00003426,2025-04-29 11:52:09,SC000204,withdrawal,369.36,231979.2,Pune,android,21,6.4,3,0,0,14,0
SF00007180,2025-11-13 15:42:46,SC003747,withdrawal,506.78,302166.29,Delhi,ios,3,9.7,6,0,0,41,0
SF00010326,2025-10-11 02:37:42,SC002152,purchase,63.7,321847.43,Hyderabad,ios,15,7.2,6,0,0,30,0
SF00003282,2025-09-23 01:35:21,SC000674,purchase,302.2,76523.35,Kolkata,windows,3,7.2,0,0,0,29,0
SF00011243,2025-09-25 21:16:55,SC001324,withdrawal,233.25,334448.18,Mumbai,windows,16,2.5,3,0,0,13,0
SF00013267,2025-11-27 10:27:44,SC000778,withdrawal,12.28,105748.08,Bengaluru,windows,1,4.8,1,0,0,23,0
SF00009905,2025-02-06 17:08:42,SC005255,deposit,,349741.5,Chennai,mac,1,9,2,0,0,28,0
SF00018891,2025-01-04 01:36:07,SC000370,purchase,221,32567.07,Mumbai,mac,0,39.1,3,0,0,25,0
SF00018105,2025-05-02 10:44:58,SC003887,transfer,448.64,279630.17,Bengaluru,other,0,2.7,6,0,0,39,0
SF00009349,2025-09-27 03:21:29,SC002207,deposit,138.46,44394.04,Chennai,windows,1,11,4,0,0,30,0
SF00005046,2025-07-18 00:20:34,SC005167,transfer,44.95,327482.53,Kolkata,windows,2,3.3,3,0,1,45,0
SF00010610,26/07/2025,SC001910,withdrawal,21.15,276876.94,Hyderabad,other,19,3.6,2,0,0,7,0
SF00012414,2025-06-09 07:21:32,SC003914,bill_payment,211.43,201163.23,Bengaluru,other,2,15,6,0,0,53,0
SF00009535,2025-08-05 07:09:31,SC005534,transfer,140.47,25584.46,Bengaluru,ios,10,57,6,0,0,26,0
SF00019019,2025-12-26 19:16:10,SC004913,bill_payment,352.67,252915.4,Hyderabad,windows,17,28.1,4,0,0,11,0
SF00004730,2025-07-06 23:43:10,SC003891,withdrawal,700.46,115902.05,Pune,windows,6,5.1,4,0,0,19,0
SF00019008,2025-11-14 08:28:49,SC005643,bill_payment,67.46,195236.72,Mumbai,android,19,3.3,3,0,0,19,0
SF00008799,2025-12-26 00:54:00,SC004890,purchase,779.13,20335.38,Kolkata,android,6,23.6,3,0,0,17,0
SF00008646,2025-06-23 18:02:05,SC001980,withdrawal,1676.28,335344.05,Hyderabad,ios,12,0.7,2,0,0,7,0
SF00003532,2025-01-26 21:10:32,SC003401,transfer,310.03,131767.11,Bengaluru,other,22,3.4,0,0,0,9,0
SF00008075,2025-08-05 23:41:00,SC002696,transfer,143.11,243918.95,Pune,android,10,9.8,5,0,0,26,0
SF00006416,2025-06-03 04:22:44,SC005056,transfer,489.66,94419.76,Bengaluru,other,21,20.2,0,0,0,7,0
SF00019982,2025-08-09 12:42:57,SC005405,deposit,479.2,301703.6,Kolkata,ios,15,8.2,1,0,1,27,0
SF00012834,2025-01-05 23:04:44,SC003481,transfer,179.63,118642.41,Indore,ios,16,3.8,5,0,0,37,0
SF00000336,2025-02-03 03:00:22,SC000242,bill_payment,144.53,184767.04,Hyderabad,android,17,3.3,5,0,0,30,0
SF00008074,2025-06-29 09:41:41,SC003144, withdrawal ,147.81,187628.52,Delhi,android,17,0.6,1,0,1,27,0
SF00011681,2025-02-18 12:36:02,SC000425,transfer,112.72,100598.42,Chennai,mac,13,16.9,3,0,0,6,0
SF00012867,2025-05-11 03:41:48,SC003778,purchase,631.15,166036.48,Mumbai,ios,15,1.5,3,0,0,13,0
SF00003405,2025-03-13 13:05:45,SC005974,withdrawal,942.36,36991.34,Mumbai,ios,12,4.5,2,0,1,27,0
SF00004326,2025-07-23 06:54:59,SC000605,purchase,472.38,175857.13,Indore,mac,12,18.6,6,0,0,36,0
SF00001881,2025-09-16 10:06:44,SC005892,withdrawal,473.5,49029.98,Delhi,mac,6,8.5,5,0,0,38,0
SF00003758,2025-12-24 21:45:49,SC001551,transfer,94.52,314038.21,Hyderabad,other,6,4,3,0,1,24,0
