order_id,order_date,customer_id,product_category,order_amount,payment_method,billing_country,shipping_country,email_age_days,account_age_days,device_type,ip_risk_level,failed_payment_attempts,delivery_speed,risk_score,is_fraud
ORD00010206,2025-08-08 14:34:40,EC002118,beauty,239.22,wallet,UAE,UAE,997,881,android,medium,3,standard,40,0
ORD00001038,2025-03-30 04:42:49,EC000904,beauty,133.77,net_banking,United Kingdom,United Kingdom,1706,159,windows,high,1,standard,30,0
ORD00007385,2025-08-21 21:25:38,EC003518,home,461.26,debit_card,UAE,UAE,1054,531,ios,low,2,standard,23,0
ORD00007249,2025-11-07 23:59:58,EC003106,sports,103954.33,wallet,Germany,Germany,1276,325,ios,low,0,express,15,0
ORD00004731,2025-08-08 21:17:12,EC002923,home,1689.52,net_banking,United States,United States,905,661,ios,high,0,express,36,0
ORD00001394,2025-05-01 13:06:45,EC000097,home,1117.86,upi,United Kingdom,United Kingdom,1406,96,mac,low,1,same_day,8,0
ORD00011990,2025-06-12 23:49:52,EC002526,books,186.05,wallet,Canada,Canada,1568,1182,ios,low,3,express,31,0
ORD00009115,2025-01-03 00:22:50,EC000103,books,451.68,upi,Singapore,Singapore,892,6,android,medium,2,express,53,0
ORD00003014,2025-07-20 22:49:54,EC002666,sports,728.02,upi,Singapore,Singapore,500,466,mac,low,1,express,16,0
ORD00010580,2025-07-07 01:10:39,EC000528,beauty,96.79,credit_card,United States,United States,1077,1253,other,low,3,express,32,0
ORD00011604,2025-04-26 04:38:04,EC001171,books,94.92,credit_card,Australia,Australia,1393,833,mac,low,3,standard,21,0
ORD00009000,2025-05-08 02:02:19,EC003293,sports,1882.71,wallet,UAE,UAE,552,1191,mac,high,0,express,38,0
ORD00008311,2025-07-04 04:36:44,EC001173,electronics,447.26,upi,Singapore,Singapore,898,1656,other,medium,0,same_day,15,0
ORD00001617,2025-12-08 10:30:57,EC001643,beauty,709.32,debit_card,Canada,Canada,2031,849,other,high,0,express,38,0
ORD00007539,2025-04-01 12:54:45,EC000528,sports,764.41,debit_card,India,India,817,635,other,medium,1,same_day,22,0
ORD00011054,2025-07-25 18:23:51,EC002434,home,83,wallet,Germany,Germany,360,230,windows,low,2,same_day,22,0
ORD00007282,2025-03-13 07:09:15,EC001277,electronics,249.65,upi,United Kingdom,United Kingdom,903,636,windows,high,0,standard,31,0
ORD00011934,2025-10-08 06:39:26,EC002943,sports,1220.77,upi,Canada,Canada,1839,81,android,low,0,standard,5,0
ORD00008806,2025-09-07 04:34:55,EC000172,books,158.37,net_banking,Australia,Australia,36,1056,ios,low,2,same_day,29,0
ORD00009608,2025-12-25 04:18:52,EC001793,beauty,174.24,UPI,India,India,122,1634,mac,high,1,standard,42,0
ORD00005536,2025-03-16 08:31:15,EC000687,sports,302.98,wallet,Australia,Australia,,1766,windows,low,2,express,23,0
ORD00008426,2025-03-01 01:04:32,EC001523,BOOKS,435.74,credit_card,Canada,Canada,1474,597,other,medium,1,same_day,21,0
ORD00001010,2025-05-28 00:45:02,EC002445,sports,106.27,credit_card,India,India,1098,1260,android,,3,standard,33,0
ORD00008001,2025-01-30 02:26:05,EC000134,books,122.26,credit_card,United Kingdom,United Kingdom,473,798,other,high,2,standard,50,0
ORD00003209,2025-04-26 19:27:58,EC002058,sports,493.34,credit_card,United Kingdom,United Kingdom,528,210,mac,medium,0,same_day,25,0
ORD00005051,2025-01-15 11:31:07,EC004079,fashion,301.32,credit_card,Canada,Canada,592,1612,mac,medium,2,same_day,42,0
ORD00004658,2025-03-15 20:28:16,EC002503,fashion,353.93,credit_card,Singapore,Singapore,650,984,windows,medium,0,express,23,0
ORD00000522,,EC000975,books,1312.83,net_banking,Singapore,Singapore,682,870,mac,high,3,standard,49,0
ORD00004340,2025-12-19 23:04:21,EC000353,books,758.18,wallet,United Kingdom,United Kingdom,821,993,mac,low,2,same_day,30,0
ORD00005157,2025-10-14 03:28:44,EC002883,books,613.31,wallet,United Kingdom,United Kingdom,1765,1310,mac,high,2,standard,54,1
ORD00002232,2025-04-12 09:34:57,EC002941,home,223.35,debit_card,UAE,UAE,299,1511,windows,medium,2,same_day,33,0
ORD00001159,2025-07-05 16:02:40,EC002342,books,417.1,net_banking,Singapore,Singapore,735,912,mac,high,3,standard,53,1
ORD00004164,2025-02-15 23:56:00,EC002960,home,79.82,credit_card,Germany,Germany,1678,834,windows,medium,0,same_day,14,0
ORD00010789,2025-09-13 10:36:09,EC002486,sports,216.64,wallet,Germany,Germany,1818,1654,other, high ,0,standard,41,0
ORD00002453,2025-09-06 18:52:25,EC000126,books,243.4,debit_card,Australia,Australia,544,1618,windows,low,2,same_day,28,0
ORD00002180,2025-01-03 23:20:55,EC002826,home,698.69,wallet,Australia,Australia,1623,131,other,low,0,same_day,12,0
ORD00006252,2025-10-14 22:05:04,EC003790,fashion,496.01,net_banking,Canada,Canada,1535,379,other,low,2,express,21,0
ORD00006930,2025-07-07 02:16:31,EC001028,fashion,220.76,debit_card,United States,United States,1093,987,windows,high,1,same_day,40,0
ORD00007927,2025-07-31 05:08:16,EC000273,electronics,351.37,net_banking,Canada,Canada,940,1475,windows,medium,0,same_day,14,0
ORD00004254,2025-04-01 09:16:20,EC003251,home,50,upi,United States,United States,498,1527,mac,low,1,same_day,8,1
ORD00000426,2025-03-16 21:55:00,EC002119,electronics,452.6,credit_card,India,India,1684,328,android,low,0,express,12,0
ORD00011851,2025-05-10 15:36:18,EC003425,electronics,65.39,debit_card,United Kingdom,United Kingdom,62,940,android,medium,2,express,33,0
ORD00010842,,EC002673,books,177.28,upi,India,India,951,427,mac,high,1,standard,40,0
ORD00002070,2025-11-09 12:12:05,EC000789,beauty,800.84,wallet,Australia,Australia,822,1557,windows,low,2,express,25,0
ORD00011880,2025-04-18 16:18:20,EC001838,sports,174.57,debit_card,Canada,Canada,2071,183,other,low,3,express,27,0
ORD00007897,2025-07-16 09:10:19,EC002424,home,132.12,debit_card,Germany,Germany,1498,1500,ios,high,2,express,47,0
ORD00007547,2025-01-22 10:42:10,EC004064,fashion,807.37,DEBIT_CARD,Singapore,Singapore,1697,1406,mac,,1,standard,25,0
ORD00009300,2025-10-05 02:35:19,EC001840,beauty,,net_banking,Germany,Germany,690,198,other,medium,2,same_day,41,0
ORD00009145,2025-01-18 08:02:09,EC002417,electronics,5361.1,wallet,UAE,UAE,830,116,other,medium,3,standard,52,0
ORD00010540,2025-06-17 07:47:55,EC000257,home,243.41,credit_card,United States,United States,425,814,other,low,3,standard,29,0
ORD00000047,2025-10-14 20:51:44,EC003484,electronics,459.82,credit_card,India,India,298,524,android,low,3,express,31,0
ORD00000346,2025-02-04 11:53:42,EC001331,sports,763.93,net_banking,United Kingdom,Germany,541,68,mac,low,2,standard,42,0
ORD00000597,2025-07-16 02:18:27,EC001898,sports,595.11,credit_card,United Kingdom,United Kingdom,577,460,mac,medium,3,standard,33,0
ORD00002230,2025-01-28 10:30:46,EC000212,sports,401.35,credit_card,India,India,0,334,other,low,2,standard,49,0
ORD00009335,2025-04-23 09:03:56,EC000189,home,214.08,credit_card,United Kingdom,United Kingdom,1916,1574,ios,low,2,express,30,0
ORD00004696,2025-01-20 07:22:38,EC002251,beauty,353.84,credit_card,Canada,Canada,140,342,android,low,1,same_day,7,0
ORD00011244,2025-10-28 18:47:40,EC002582,beauty,351.46,net_banking,India,UAE,1304,1012,ios,low,2,same_day,52,0
ORD00011382,2025-10-24 05:58:47,EC002354,fashion,758.85,upi,United States,United States,212,939,android,high,2,express,47,0
ORD00011380,2025-08-11 21:58:26,EC000487,sports,154.07,credit_card,UAE,UAE,848,49,ios,low,2,standard,27,0
ORD00007113,2025-01-24 14:17:29,EC002908,beauty,445.9,credit_card,United Kingdom,United States,2079,1070,android,high,0,standard,61,0
ORD00006756,2025-11-16 17:36:27,EC003742,beauty,189.91,credit_card,Germany,Germany,653,843,android,low,3,express,31,0
ORD00010824,2025-04-01 03:47:49,EC003879,books,200.25,credit_card,Germany,Germany,1707,811,windows,high,1,same_day,37,0
ORD00006408,2025-08-07 18:59:34,EC003523,beauty,176.58,net_banking,Singapore,Singapore,1206,1349,android,low,2,express,26,0
ORD00005036,2025-07-09 06:56:42,EC001110,beauty,1253.43,upi,Germany,Germany,1015,190,mac,low,2,same_day,24,0
ORD00010180,2025-12-19 04:58:59,EC004076,sports,201.5,debit_card,India,India,1327,497,windows,medium,1,same_day,23,0
ORD00006708,2025-01-04 09:02:02,EC000088,beauty,1435.08,upi,Australia,Australia,1589,1053,other,medium,0,standard,25,0
ORD00007780,2025-09-05 07:33:10,EC003863,books,563.34,upi,United Kingdom,United Kingdom,1929,859,ios,high,1,same_day,33,0
ORD00001921,2025-10-02 12:36:48,EC003202, electronics ,806.45,wallet,Canada,Canada,1185,1283,windows,high,2,express,49,0
ORD00002327,2025-11-28 20:18:50,EC003600,fashion,109.92,credit_card,United States,United States,575,978, mac ,low,0,standard,9,0
ORD00010317,2025-11-08 18:29:23,EC003395,books,230.48,credit_card,Germany,India,760,1372,ios,high,2,express,70,1
ORD00009882,2025-10-04 15:14:01,EC001632,sports,196.34,net_banking,Singapore,Singapore,1925,1324,ios,low,3,standard,30,0
ORD00006530,2025-12-19 09:16:28,EC003248,fashion,1076.03,credit_card,Germany,Germany,911,1488,ios,medium,1,express,21,0
ORD00002269,2025-01-11 00:55:55,EC003423,beauty,670.12,credit_card,United Kingdom,United Kingdom,1233,270,android,low,3,express,24,0
ORD00008818,2025-11-25 19:00:39,EC003143,electronics,311.09,credit_card,United Kingdom,United Kingdom,772,86,windows,low,3,same_day,30,0
ORD00003261,2025-08-03 19:26:37,EC002103,books,188.65,credit_card,SINGAPORE,Singapore,588,313,android,medium,2,standard,36,0
ORD00010850,2025-11-19 04:40:47,EC002029,beauty,1675.74,credit_card,Australia,Australia,1198,317,mac,high,0,standard,35,0
ORD00002264,2025-07-10 14:01:05,EC001193,beauty,2375.1,credit_card,India,India,427,849,other,low,1,express,11,0
ORD00001507,2025-10-14 00:13:04,EC002777,sports,1242.35,wallet,UAE,UAE,1202,1234,other,low,2,same_day,32,0
ORD00010804,2025-03-22 18:07:49,EC003696,books,365.37,wallet,United States,United States,868,1571,other,low,2,standard,21,0
ORD00007189,2025-10-08 06:03:21,EC000488,books,246.93,debit_card,India,India,150,455,android,low,0,express,10,0
ORD00009227,2025-05-12 08:24:59,EC001995,fashion,50.13,debit_card,United Kingdom,United Kingdom,1923,150,ios, high ,2,standard,52,0
ORD00004305,2025-06-02 02:17:00,EC003022,electronics,219.41,upi,United Kingdom,United Kingdom,1612,318,ios,high,2,same_day,48,0
ORD00011098,2025-01-09 19:26:58,EC000237,beauty,856.57,upi,United States,UAE,241,398,other,low,2,standard,45,0
ORD00005720,2025-11-09 10:40:13,EC002171,books,1069.31,upi,Singapore,Singapore,1888,668,other,medium,3,standard,37,1
ORD00000027,2025-10-04 21:49:54,EC001131,books,1738.84,net_banking,Canada,Canada,171,1666,other,medium,0,same_day,23,0
ORD00010909,2025-11-12 03:14:51,EC003860,books,205.94,net_banking,United States,United States,917,158,android,low,0,standard,8,0
ORD00006082,2025-07-21 08:02:37,EC004072,electronics,50,credit_card,Singapore,Singapore,2166,785,android,high,3,same_day,50,0
ORD00001515,2025-08-06 15:24:24,EC001111,fashion,407.4,wallet,India,India,25,1583,other,low,0,same_day,27,0
ORD00002361,2025-05-10 14:20:04,EC001171,home,487.17,upi,UAE,UAE,496,589,,low,1,express,16,0
ORD00002564,2025-12-07 05:27:59,EC000152,fashion,109.83,credit_card,Germany,Germany,905,1410,android,medium,1,express,23,0
ORD00003309,2025-06-15 02:11:02,EC003729,sports,180.3,net_banking,UAE,UAE,310,157,ios,low,3,standard,28,0
ORD00002082,2025-01-27 13:29:36,EC001474,beauty,117.67,wallet,Australia,Australia,933,342,IOS,low,0,same_day,15,0
ORD00000949,2025-03-22 03:45:41,EC001718,beauty,422.92,net_banking,Canada,Canada,1917,206,mac,medium,3,same_day,32,0
ORD00004792,2025-10-14 07:23:08,EC003720,beauty,321.9,net_banking,United Kingdom,United Kingdom,702,1028,windows,medium,1,standard,20,0
ORD00003806,2025-11-01 05:06:42,EC000190,home,438.43,wallet,United States,India,95,1664,ios,low,1,standard,32,0
ORD00001471,2025-02-19 21:05:18,EC002619,fashion,281.88,upi,UAE,UAE,1094,890,android,medium,3,standard,38,0
ORD00002767,2025-07-06 18:27:58,EC002796,electronics,936.26, credit_card ,India,India,101,284,other,medium,1,express,17,0
ORD00000203,2025-08-07 20:24:30,EC000596,sports,342.07,debit_card,Australia,Australia,1552,141,other,medium,0,same_day,16,0
ORD00010937,2025-09-14 12:56:42,EC001301,fashion,65.24,net_banking,Australia,Australia,1617,60,windows,low,1,standard,12,0
ORD00007307,2025-09-24 13:58:58,EC004098,sports,486.37,wallet,Canada,Canada,1613,1414,windows,high,2,express,55,0
ORD00003437,2025-06-06 17:57:12,EC000689,home,50,wallet,Canada,Canada,1025,1251,ios,low,1,standard,6,0
ORD00011889,2025-03-17 22:35:07,EC002420,home,57,wallet,India,India,15,1317,mac,low,2,express,48,0
ORD00004245,2025-05-03 17:33:33,EC001473,books,1339.6,net_banking,Singapore,Singapore,682,906,mac,low,0,express,11,0
ORD00007520,2025-04-28 12:35:53,EC001237,beauty,600.19,upi,United States,United States,1659,591,windows,medium,0,same_day,21,0
ORD00005330,2025-04-28 13:27:48,EC002619,books,1212.11,wallet,Australia,Australia,23,359,windows,low,0,standard,29,0
ORD00011737,2025-10-19 02:59:23,EC003542,beauty,260.31,upi,India,India,477,905,windows,medium,3,express,41,0
ORD00000816,2025-09-27 11:21:23,EC000572,electronics,884.86,upi,United States,United States,72,970,android,low,3,express,23,0
ORD00009469,2025-11-22 06:39:14,EC002106,beauty,295.98,upi,India,India,2113,200,ios,low,0,same_day,15,0
ORD00000501,2025-10-22 17:44:59,EC000547,home,1304.95,wallet,Germany,Germany,19,938,android,low,0,standard,33,0
ORD00009109,2025-05-26 11:59:01,EC000188,home,96.85,debit_card,Germany,Australia,1654,43,ios,high,1,express,51,0
ORD00000369,2025-06-05 09:38:08,EC000880,,1391.91,credit_card,Canada,Canada,982,663,android,high,2,same_day,52,0
ORD00002121,2025-01-10 00:24:37,EC001241,beauty,610.44,debit_card,Australia,Australia,171,239,windows,high,3,express,57,0
ORD00003907,2025-01-27 18:48:21,EC001901,beauty,227.92,wallet,Canada,Canada,172,496,other,medium,0,same_day,25,0
ORD00010534,2025-11-07 02:55:03,EC000735,electronics,181.68,net_banking,Australia,Australia,1247,447,android,medium,3,same_day,36,0
ORD00005758,2025-09-16 01:14:00,EC002478,electronics,125.28,wallet, Canada ,Canada,1194,12,other,medium,3,same_day,51,0
ORD00007544,2025-10-03 08:37:29,EC004053,fashion,1679.5,wallet,UAE,Canada,1643,982,mac,medium,1,express,39,0
ORD00002148,2025-10-06 01:26:46,EC002307,home,851.13,debit_card,India,India,1872,792,windows,low,3,same_day,27,0
ORD00009010,2025-05-13 12:28:14,EC001289,beauty,991.82,credit_card,India,India,1589,83,windows,low,3,same_day,24,0
ORD00004584,2025-09-13 06:34:22,EC001636,fashion,342.02,debit_card,United States,United States,1382,620,other,low,0,standard,14,0
ORD00006933,2025-10-26 06:03:11,EC002665,electronics,311.65,debit_card,United Kingdom,United Kingdom,2174,258,android,low,2,express,24,0
ORD00001500,2025-01-28 12:21:23,EC001537,sports,335.43,net_banking,Singapore,Singapore,1470,721,other,medium,3,same_day,30,0
ORD00003434,2025-02-15 15:39:59,EC002928,fashion,99.13,wallet,United States,United States,436,247,ios,low,2,standard,29,0
ORD00000733,2025-04-29 16:59:04,EC002944,home,572.37,debit_card,Germany,Germany,513,917,mac,medium,1,same_day,23,0
ORD00000292,2025-08-15 17:50:39,EC001901,beauty,449.44,net_banking,India,India,1036,1509,mac,low,0,same_day,6,0
ORD00002280,2025-02-22 06:42:24,EC003154,fashion,482.98,wallet,United States,United States,1755,1389,windows,medium,1,standard,25,0
ORD00007710,2025-08-01 04:39:52,EC000389,electronics,774.53,credit_card,Germany,Germany,1889,69,other,high,3,standard,48,0
ORD00008277,2025-01-22 19:03:22,EC001424,fashion,520.99,credit_card,Germany,Germany,2037,260,other,low,3,express,26,0
ORD00008418,2025-05-09 02:44:15,EC003601,fashion,50,NET_BANKING,United States,United States,1868,432,android,low,1,standard,14,0
ORD00003454,2025-02-25 19:01:41,EC000250,books,194.01,wallet,Australia,Australia,915,1427,android,low,3,standard,26,0
ORD00007763,2025-12-15 17:09:25,EC002469,electronics,247.11,credit_card,Australia,Australia,1167,606,mac,medium,1,standard,25,0
ORD00000053,2025-05-24 08:12:29,EC003997,beauty,403.35,credit_card,Singapore,Singapore,926,1679,ios,medium,2,express,36,0
ORD00008095,2025-08-11 20:20:25,EC002953,electronics,185.18,credit_card,Singapore,Singapore,1430,1557,android,medium,1,same_day,24,0
ORD00003168,2025-02-28 01:34:06,EC003429,sports,395.14,upi,United States,United States,1583,1101,android,medium,2,standard,38,0
ORD00008470,2025-08-16 21:54:54,EC003246,books,146.5,wallet,Germany,Germany,655,1434,mac,low,3,express,22,0
ORD00006980,2025-08-01 19:50:11,EC001879,sports,226.69,credit_card,United States,United States,1467,73,windows,low,0,standard,9,0
ORD00000527,2025-06-11 12:09:13,EC003378,sports,188.59,credit_card,Canada,Canada,1957,1055,ios,high,1,same_day,42,1
ORD00004162,2025-12-03 00:09:59,EC003388,fashion,309.53,upi,India,Australia,1658,1593,ios,low,2,express,52,0
ORD00007517,2025-01-07 13:59:26,EC003443,electronics,693.75,debit_card,Singapore,Singapore,507,1756,android, medium ,2,same_day,34,0
ORD00009052,2025-08-15 16:45:03,EC003175,electronics,79.1,upi,United States,Australia,1798,510,windows,high,1,express,51,1
ORD00006792,2025-07-11 17:34:27,EC003824,sports,116.72,wallet,United Kingdom,United Kingdom,74,752,windows,low,3,standard,27,0
ORD00010060,2025-10-20 15:59:19,EC003825,sports,55.25,credit_card,Germany,Germany,1954,35,other,low,3,standard,28,0
ORD00000086,2025-09-27 21:38:21,EC003769,beauty,224.58,credit_card,United Kingdom,United Kingdom,2100,521,other,medium,2,standard,36,0
ORD00008764,2025-06-05 20:34:29,EC003257,electronics,750.3,net_banking,United Kingdom,United Kingdom,163,1124,other,high,1,standard,39,0
ORD00010004,2025-02-15 04:05:35,EC002229,sports,335.98,debit_card,Australia,Australia,145,433,other,low,2,same_day,27,0
ORD00000895,2025-09-30 21:42:19,EC003575,books,607.44,wallet,Germany,Germany,1497,775,other,low,0,standard,9,0
ORD00009810,2025-06-17 09:43:43,EC002084,home,118.26,wallet,Singapore,Singapore,702,479,mac,medium,0,standard,15,0
ORD00002805,2025-05-13 09:52:40,EC002772,electronics,492.05,wallet,Singapore,Singapore,380,,mac,high,1,express,31,0
ORD00002709,2025-08-19 21:07:54,EC003503,beauty,232.19,debit_card,Singapore,Singapore,1176,543,ios,medium,3,standard,38,0
ORD00010612,2025-10-04 18:05:28,EC002235,home,113.93,credit_card,United Kingdom,United Kingdom,724,564,android,medium,3,same_day,39,0
ORD00008816,2025-09-12 16:27:53,EC001708,home,288.46,credit_card,India,UAE,1579,307,android,medium,1,standard,34,0
ORD00006765,2025-10-15 10:54:57,EC001039,fashion,195.73,DEBIT_CARD,Canada,UAE,1616,1466,windows,high,1,standard,62,0
ORD00011639,2025-11-12 22:05:38,EC003003,fashion,406.85,net_banking,Canada,Canada,107,645,ios,medium,0,express,25,0
ORD00000007,2025-09-24 18:53:42,EC002824,beauty,148.45,debit_card,Canada,Canada,988,147,windows,low,1,same_day,11,0
ORD00001768,2025-03-30 15:45:45,EC000654,beauty,259.7,upi,Germany,India,1739,1242,android,low,0,express,29,0
ORD00007838,2025-07-23 23:15:35,EC000031,beauty,625.89,debit_card,Singapore,Singapore,999,408,android,medium,3,same_day,40,0
ORD00010199,2025-11-22 12:27:27,EC001247,sports,81.89,upi,United States,United States,1064,1792,android,low,0,same_day,14,0
ORD00003459,2025-08-29 17:57:24,EC000393,beauty,1040.42,credit_card,UAE,UAE,1719,549,android,medium,2,same_day,33,0
ORD00011524,2025-03-17 17:34:18,EC003720,beauty,610.78,wallet,UAE,UAE,2144,145,other,medium,2,express,32,0
ORD00005826,2025-08-08 00:18:52,EC000302,fashion,1973.1,,India,India,1746,1653,windows,medium,2,standard,37,1
ORD00002731,2025-11-11 01:19:05,EC002955,electronics,807.68,wallet,UAE,Australia,1462,1499,other,low,2,express,50,1
ORD00011581,2025-12-26 05:39:49,EC000329,home,344.01,upi,India,India,1776,922,windows,low,3,same_day,32,0
ORD00010584,2025-12-02 05:30:15,EC002182,beauty,93.89,wallet,Germany,Germany,1479,1690,mac,medium,3,same_day,37,1
ORD00006211,2025-08-18 04:39:29,EC000404,electronics,129.87,credit_card,United States,Australia,1317,523,other,medium,3,standard,61,0
ORD00001587,2025-11-23 21:28:46,EC003356,books,905.07,wallet,United States,United States,648,238,windows,medium,0,same_day,18,0
ORD00005244,2025-08-09 16:46:31,EC004025,books,284.36,net_banking,Canada,Canada,1912,215,windows,medium,1,standard,17,0
ORD00003657,2025-09-24 02:30:46,EC002855,fashion,180.07,wallet,Germany,Germany,2081,272,ios, medium ,0,standard,17,0
ORD00011918,2025-02-23 08:28:04,EC000743,books,381.97,upi,Germany,Germany,1288,812,ios,high,0,standard,32,0
ORD00010402,2025-06-21 11:03:44,EC002735,books,136.16,net_banking,United States,United States,1216,213,other,high,1,standard,34,0
ORD00001929,2025-07-25 15:39:00,EC000191,home,111.69,upi,Germany,Germany,1214,1476,windows,medium,2,express,42,0
ORD00002192,2025-03-23 06:24:34,EC002333,sports,1363.52,upi,United Kingdom,United Kingdom,1394,1164,windows,high,3,express,53,0
ORD00008186,2025-11-01 21:43:28,EC001615,electronics,98.68,upi,United Kingdom,United Kingdom,1710,357,other,medium,3,express,32,0
ORD00006713,2025-07-08 02:00:23,EC001686,books,296.67,upi,Australia,Australia,900,775,android,low,0,same_day,6,0
ORD00006041,2025-05-25 04:30:46,EC003835,books,521.55,credit_card,Singapore,Singapore,877,624,windows,high,0,same_day,41,0
ORD00003969,2025-05-11 15:01:06,EC000646,sports,427.67,net_banking,India,India,579,1515,ios,low,1,standard,17,0
ORD00000874,2025-08-14 10:36:31,EC004078,books,105.67,upi,Singapore,Singapore,1663,11,windows,medium,0,express,40,0
ORD00006270,2025-08-11 04:59:47,EC002764,beauty,133.43,credit_card,United States,United States,1015,855,windows,low,1,same_day,5,0
ORD00007507,2025-01-02 21:39:00,EC001608,sports,109.98,upi,UAE,UAE,337,1649,windows,medium,1,standard,16,0
ORD00006067,2025-01-12 06:37:37,EC001093,sports,127.3,upi,Australia,Australia,1289,1332,windows,high,1,express,39,0
ORD00001741,2025-07-04 03:32:33,EC000244,books,343.28,upi,United States,United States,1717,614,other,medium,1,standard,22,0
ORD00005463,2025-10-21 19:21:04,EC004037,fashion,281.54,upi,United States,United States,321,507,other,low,2,standard,24,0
ORD00002948,2025-11-10 10:35:34,EC001636,sports,381.19,debit_card,United Kingdom,Australia,2169,366,MAC,low,1,express,35,0
ORD00009271,2025-10-27 06:47:06,EC003602,fashion,234.92,upi,UAE,United States,1260,189,mac,low,2,standard,45,0
ORD00000710,2025-12-29 17:49:24,EC001519,sports,267.51,net_banking,Canada,Canada,1785,99,ios,low,0,standard,14,0
ORD00004965,2025-04-28 20:41:25,EC003889,sports,364.12,net_banking,United Kingdom,United Kingdom,1328,387,windows,low,0,express,8,0
ORD00011794,2025-07-30 03:37:21,EC001076,fashion,404.94,debit_card,India,India,1866,1104,other,medium,1,standard,21,0
ORD00009154,2025-12-17 20:19:30,EC002497,beauty,733.97,WALLET,Australia,Canada,415,1595,ios,medium,3,express,50,0
ORD00005479,2025-06-05 10:51:01,EC000146,electronics,145.36,debit_card,United States,United States,1432,520,ios,high,0,standard,36,0
ORD00005374,2025-10-13 02:14:56,EC001770,beauty,151.85,upi,United States,United States,1770,248,mac,medium,0,same_day,24,0
ORD00000999,2025-04-16 08:58:07,EC000815,fashion,990.59,upi,Singapore,Singapore,499,386,windows,low,2,same_day,31,0
ORD00001326,2025-06-09 18:51:19,EC002473,fashion,134.14,net_banking,Canada,Canada,282,365,windows,medium,2,express,41,0
ORD00005646,2025-05-10 12:42:53,EC000705,sports,143.1,net_banking,Singapore,Singapore,1675,1146,android,medium,3,same_day,41,0
ORD00003952,2025-08-20 01:17:30,EC002744,electronics,60.53,upi,United States,United States,336,1086,mac,low,0,express,15,0
ORD00009638,2025-01-09 08:55:19,EC003348,fashion,160.46,credit_card,India,India,2121,1364,ios,medium,2,standard,33,0
ORD00004709,2025-05-16 16:12:53,EC000512,sports,337.11,debit_card,Singapore,Singapore,11,210,ios,low,3,same_day,39,0
ORD00009709,2025-03-22 14:58:08,EC004120,sports,322.43,debit_card,UAE,UAE,1860,1564,ios,low,1,standard,17,0
ORD00011915,2025-11-04 04:26:04,EC003652,sports,307.3,upi,,Australia,1173,1286,ios,medium,3,same_day,32,0
ORD00008909,2025-02-15 18:09:00,EC001455,beauty,188.99,credit_card,Australia,Australia,1871,701,windows,medium,0,same_day,24,0
ORD00001179,2025-07-15 10:17:15,EC004004,home,555.33,wallet,Australia,Australia,1510,1461,ios,low,0,standard,6,0
ORD00005222,2025-05-17 05:05:34,EC001739,books,64.05,credit_card,United States,United States,264,853,ios,low,1,same_day,15,0
ORD00006009,2025-02-25 18:40:30,EC002947,home,76.4,debit_card,UAE,UAE,1550,338,windows,medium,1,express,24,0
ORD00007379,2025-01-11 09:15:23,EC002735,home,300.1,upi,Singapore,Singapore,1142,408,mac,high,1,express,35,0
ORD00006391,2025-11-16 09:00:26,EC000697,books,135.09,upi,UAE,UAE,2141,869,ios,medium,0,express,16,0
